сценарий,политика,средняя потеря,накопленная потеря,RMSE ставки,среднее абсолютное отклонение ставки,волатильность инструмента,нестабильность
Фильтрация: с распределительной статистикой,Classical: filter + fixed rule,1.621997195518583e-06,9.731983173111498e-05,0.00042349094391471673,0.0003317221643708115,0.0004848465573950519,0
Фильтрация: с распределительной статистикой,Learning-based policy,1.5630996376942466e-06,9.37859782616548e-05,0.0003612190962145197,0.0002779732566171686,0.0004942974704368696,0
Фильтрация: расширенный макронабор,Classical: filter + fixed rule,1.6160340375891633e-06,9.69620422553498e-05,0.0004246499771591096,0.0003377669205231538,0.00048378836957518694,0
Фильтрация: расширенный макронабор,Learning-based policy,1.556948128982833e-06,9.341688773896998e-05,0.000411170682074854,0.0003074127111006866,0.0004909169527271317,0
Фильтрация: высокий шум измерения,Classical: filter + fixed rule,1.6353353759412168e-06,9.8120122556473e-05,0.0004623378285854103,0.0003676115240099191,0.0004956699416123501,0
Фильтрация: высокий шум измерения,Learning-based policy,1.573968667413657e-06,9.443812004481943e-05,0.00048763884213453635,0.00036467057816279535,0.000500127741572279,0
"Фильтрация: инфляция, выпуск и ставка",Classical: filter + fixed rule,1.6160903703607804e-06,9.696542222164682e-05,0.0004316144035914485,0.0003358382351206433,0.00048088975988113455,0
"Фильтрация: инфляция, выпуск и ставка",Learning-based policy,1.557901763523752e-06,9.347410581142511e-05,0.00046800227912437793,0.000351168395804926,0.0004868536123091804,0
Фильтрация: инфляция и ставка,Classical: filter + fixed rule,1.709182726869787e-06,0.00010255096361218721,0.0004658736855637132,0.0003693303850972654,0.0005720239334226414,0
Фильтрация: инфляция и ставка,Learning-based policy,1.5626969328471075e-06,9.376181597082644e-05,0.0003849805316050226,0.0002843026842672717,0.0005051395759072563,0
