сценарий,политика,"impact инфляции, п.п.","impact разрыва выпуска, %","impact потребления, %","impact ставки, п.п.","impact занятости, %"
Фильтрация: с распределительной статистикой,Classical: filter + fixed rule,0.014012254725521029,-0.004004409689262189,-0.003209381711146153,0.010620615511099628,0.042131870744999134
Фильтрация: с распределительной статистикой,Полная информация,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,-0.0011261475072910088
Фильтрация: с распределительной статистикой,Learning-based policy,-0.01882371369227097,-0.039036506840572915,-0.046857217457722825,-0.0034863677912192657,-0.01017049050218155
Фильтрация: расширенный макронабор,Classical: filter + fixed rule,0.011325125741865876,-0.006466754456302404,-0.0069048721191535215,0.007502729889421404,0.038455334498910254
Фильтрация: расширенный макронабор,Полная информация,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,-0.0011261475072910088
Фильтрация: расширенный макронабор,Learning-based policy,-0.029319587400413443,-0.06357973184518695,-0.07306042233406104,-0.00708907062543117,-0.04680775689911432
Фильтрация: высокий шум измерения,Classical: filter + fixed rule,0.017037524218055208,-0.008925195789200036,-0.0059002866180741164,0.014847580347974112,0.034784670960386066
Фильтрация: высокий шум измерения,Полная информация,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,-0.0011261475072910088
Фильтрация: высокий шум измерения,Learning-based policy,-0.018322580347386055,-0.05516840386653454,-0.058448720385369995,0.0008391115009239201,-0.034252120162125976
"Фильтрация: инфляция, выпуск и ставка",Classical: filter + fixed rule,0.013221705398629168,-0.004704638054020549,-0.004235069928785104,0.009419556421729383,0.04108635259991722
"Фильтрация: инфляция, выпуск и ставка",Полная информация,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,-0.0011261475072910088
"Фильтрация: инфляция, выпуск и ставка",Learning-based policy,-0.0205511945603693,-0.04813193994076537,-0.05430545092891029,-0.003969486343566166,-0.023748351036534388
Фильтрация: инфляция и ставка,Classical: filter + fixed rule,0.007598525755149822,-0.017599895451458902,-0.02169414444982692,0.005899737983234679,0.021832956218537092
Фильтрация: инфляция и ставка,Полная информация,-0.031709767650578376,-0.03297817784001511,-0.05742190979093999,-0.015597682180930415,-0.0011261475072910088
Фильтрация: инфляция и ставка,Learning-based policy,-0.02457569076696117,-0.05852302641295992,-0.06759923474794623,-0.006731692220576376,-0.03925964654755143
