сценарий,политика,пик отклика потребления нижнего квантиля,пик отклика потребления верхнего квантиля,пик изменения доли low-liquid,пик изменения средней MPC
Фильтрация: с распределительной статистикой,Classical: filter + fixed rule,-0.3281131417621682,-0.7335020238796605,0.0015290893936199534,0.0032296782908172172
Фильтрация: с распределительной статистикой,Learning-based policy,-0.2912909772851819,-0.777313847889999,0.0012218052731800544,0.003284714195614588
Фильтрация: расширенный макронабор,Classical: filter + fixed rule,-0.337065393761907,-0.7288947676288936,0.0015328868282918906,0.003196598634957512
Фильтрация: расширенный макронабор,Learning-based policy,-0.32407831852537666,-0.7480456849703899,0.001402943823092695,0.0034809346209568187
Фильтрация: высокий шум измерения,Classical: filter + fixed rule,-0.35171197967267614,-0.7342360917833417,0.001681264822755657,0.0031972396359488536
Фильтрация: высокий шум измерения,Learning-based policy,-0.32481755307661714,-0.7511112643558241,0.0015800173076770951,0.003369814292949108
"Фильтрация: инфляция, выпуск и ставка",Classical: filter + fixed rule,-0.3338737865796674,-0.7286312002531348,0.001581803415053873,0.003128870806137038
"Фильтрация: инфляция, выпуск и ставка",Learning-based policy,-0.30772867297189194,-0.7589938189446644,0.0014679836964028858,0.0032851433819627157
Фильтрация: инфляция и ставка,Classical: filter + fixed rule,-0.3692642652090354,-0.7412700222100618,0.0015182998199606557,0.003151365698566444
Фильтрация: инфляция и ставка,Learning-based policy,-0.3287396185378486,-0.7763607315425635,0.0014065003223698858,0.003295885815488217
