variant_name,scenario_name,scenario_label,training_seed,best_validation_return,final_validation_return,final_mean_episode_return
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",11,-0.0015387088188151142,-0.0023808589352656705,-0.0023886973535840765
macro_core_filtered_state,macro_core,"Фильтрация: инфляция, выпуск и ставка",22,-0.001022610812503832,-0.0015463382613374516,-0.002320433617723963
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,11,-0.0013075966190828137,-0.0021635584871082776,-0.0022394327515749654
full_macro_filtered_state,full_macro,Фильтрация: расширенный макронабор,22,-0.0009717842510571999,-0.0017427230627440199,-0.0025018554034315875
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,11,-0.0013701557872027057,-0.0020084997731902813,-0.0020783198076426298
thin_information_filtered_state,thin_information,Фильтрация: инфляция и ставка,22,-0.0009675774228522443,-0.0014545433054735449,-0.0021164572216825304
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,11,-0.0015138342545720277,-0.0024775499041251505,-0.0023575097357664433
high_noise_filtered_state,high_noise,Фильтрация: высокий шум измерения,22,-0.0009898105552157415,-0.0014833804020140465,-0.0024111798903934667
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,11,-0.0015025309115374074,-0.0021408847769524134,-0.002335698554056997
distribution_augmented_filtered_state,distribution_augmented,Фильтрация: с распределительной статистикой,22,-0.0011016338076374971,-0.0014677043432067154,-0.0023529381940466695
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",11,-0.0011187266350502591,-0.0022347199316457085,-0.002118053276688951
macro_core_filtered_state_uncertainty,macro_core,"Фильтрация: инфляция, выпуск и ставка",22,-0.0005291678864189286,-0.0005548182893461718,-0.001410583651266303
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",11,-0.0010098552645790642,-0.002009314312244009,-0.0020983824892015263
macro_core_raw_observations,macro_core,"Фильтрация: инфляция, выпуск и ставка",22,-0.0009568732951527961,-0.0014615651872417151,-0.0027781487389441275
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,11,-0.0007534615367714328,-0.0009842065377175656,-0.0018869264684331678
distribution_augmented_no_distribution_state,distribution_augmented,Фильтрация: с распределительной статистикой,22,-0.0012858151259022828,-0.0018715273357147373,-0.0028805379542075258
