scenario,scenario_label,state,rmse,mae,correlation,mean_std,coverage
macro_core,"Фильтрация: инфляция, выпуск и ставка",rstar_gap,0.000507902178471859,0.0003990111065911975,0.49210736744404737,0.0003764153641928808,0.8
macro_core,"Фильтрация: инфляция, выпуск и ставка",productivity_gap,0.0004940605108746403,0.0003643470331241448,0.5288251253768506,0.0007361464087495841,0.9833333333333333
macro_core,"Фильтрация: инфляция, выпуск и ставка",fiscal_gap,0.00043182890123821306,0.00034139882845154367,0.054581543836660515,0.0004856943010667659,0.9833333333333333
macro_core,"Фильтрация: инфляция, выпуск и ставка",inflation_gap,9.371552023069662e-05,7.646940738992427e-05,0.9616383580865403,0.00011960220737417654,1.0
macro_core,"Фильтрация: инфляция, выпуск и ставка",output_gap,0.00039398738197933363,0.00028870219143139363,0.9912043855040304,0.0003919723356911475,0.9333333333333333
macro_core,"Фильтрация: инфляция, выпуск и ставка",low_liquidity_gap,0.00010137618310401379,8.077265396433752e-05,0.9464900443280747,0.0001354603293233072,0.9833333333333333
macro_core,"Фильтрация: инфляция, выпуск и ставка",mean_mpc_gap,0.0007864802176493721,0.000622766547888246,0.7930212431803536,0.0010273249414013365,0.9833333333333333
full_macro,Фильтрация: расширенный макронабор,rstar_gap,0.0004953999891179324,0.0003827291635385345,0.15807984230533512,0.00037314092233885237,0.8
full_macro,Фильтрация: расширенный макронабор,productivity_gap,0.0004892680146450819,0.000398305436131101,0.5623944710746629,0.0005324729850575755,0.9666666666666667
full_macro,Фильтрация: расширенный макронабор,fiscal_gap,0.00034876265564273375,0.0002743828408074599,0.3901337872086689,0.0003952709244294011,0.9833333333333333
full_macro,Фильтрация: расширенный макронабор,inflation_gap,8.67690357420665e-05,6.920019011628089e-05,0.9639581985085203,0.00011501599265340608,1.0
full_macro,Фильтрация: расширенный макронабор,output_gap,0.0003741048048431767,0.00027488147115550744,0.9915977181560192,0.000379953493825321,0.9333333333333333
full_macro,Фильтрация: расширенный макронабор,low_liquidity_gap,7.744279981682054e-05,5.8605250627428125e-05,0.9565763743131811,0.00012847076478836658,1.0
full_macro,Фильтрация: расширенный макронабор,mean_mpc_gap,0.0006834965015016245,0.0005237997427563607,0.8123701095654994,0.0009796045472808658,1.0
thin_information,Фильтрация: инфляция и ставка,rstar_gap,0.0005061477883881261,0.0003971155406037945,0.6558468977189676,0.0003771452871698837,0.8
thin_information,Фильтрация: инфляция и ставка,productivity_gap,0.0005422032475507324,0.00039393199825465595,0.31801965340612925,0.0007598531131359593,0.9833333333333333
thin_information,Фильтрация: инфляция и ставка,fiscal_gap,0.00043193626289581916,0.0003401212403632992,0.08247193997068286,0.00048705448036211413,0.9833333333333333
thin_information,Фильтрация: инфляция и ставка,inflation_gap,0.00012966269529350686,0.00010531708363592134,0.9284792561228284,0.00013965555770260665,0.9833333333333333
thin_information,Фильтрация: инфляция и ставка,output_gap,0.0012359599939096703,0.0010036216007380046,0.9215670234061383,0.0023603537934281434,1.0
thin_information,Фильтрация: инфляция и ставка,low_liquidity_gap,0.00010187248881996399,8.147620718022686e-05,0.9393864802434583,0.00013655728249334915,0.9833333333333333
thin_information,Фильтрация: инфляция и ставка,mean_mpc_gap,0.0005577441178919554,0.0004304804918356244,0.8705469404376922,0.0011363654840425277,1.0
high_noise,Фильтрация: высокий шум измерения,rstar_gap,0.0005094729796897981,0.00039970452064159464,0.4186081564359441,0.0003766655053028774,0.8
high_noise,Фильтрация: высокий шум измерения,productivity_gap,0.0004990684432208554,0.0003680961836754595,0.509561433868582,0.0007407477790608503,0.9833333333333333
high_noise,Фильтрация: высокий шум измерения,fiscal_gap,0.00043331780326279505,0.0003421560562524053,0.006318440209625981,0.0004859871941698274,0.9833333333333333
high_noise,Фильтрация: высокий шум измерения,inflation_gap,0.00011014659804570599,8.652705210141846e-05,0.9431866225293117,0.00017205695415646412,1.0
high_noise,Фильтрация: высокий шум измерения,output_gap,0.0007543504912650821,0.0005666256461546481,0.9656434646034648,0.0007573911185073378,0.9333333333333333
high_noise,Фильтрация: высокий шум измерения,low_liquidity_gap,0.00011022518427438455,8.798331198534064e-05,0.92982233511436,0.00015939031815592086,1.0
high_noise,Фильтрация: высокий шум измерения,mean_mpc_gap,0.0007831912939615882,0.0006199467240063143,0.7738689335689892,0.0013589752216716447,1.0
distribution_augmented,Фильтрация: с распределительной статистикой,rstar_gap,0.0004868676712909822,0.0003730487112480292,0.34387567250726886,0.00037295048045491206,0.8
distribution_augmented,Фильтрация: с распределительной статистикой,productivity_gap,0.00047826675025526956,0.0003690493245408515,0.5453749758546567,0.0007285739329264639,0.9833333333333333
distribution_augmented,Фильтрация: с распределительной статистикой,fiscal_gap,0.0004273439392940217,0.00033797968327405634,0.13138833177027762,0.00048546824820767286,0.9833333333333333
distribution_augmented,Фильтрация: с распределительной статистикой,inflation_gap,8.206835461836072e-05,6.749498839904099e-05,0.9683515796467859,0.00010274620010110361,1.0
distribution_augmented,Фильтрация: с распределительной статистикой,output_gap,0.0003930331740414387,0.00029020977772467664,0.9907923727580585,0.0003914739613584819,0.9333333333333333
distribution_augmented,Фильтрация: с распределительной статистикой,low_liquidity_gap,7.701096766549391e-05,6.526525035163503e-05,0.9690661725295042,0.00012448320388956205,1.0
distribution_augmented,Фильтрация: с распределительной статистикой,mean_mpc_gap,0.0006267784569406935,0.0005214353386656736,0.8425462909294871,0.0008467620711657672,1.0
