scenario,scenario_label,period,known_policy_rate,full_information_rate,observed_pi,observed_output_gap,observed_C,observed_w,observed_share_low_liquidity,observed_mean_mpc
macro_core,"Фильтрация: инфляция, выпуск и ставка",0,0.0009690751833459863,0.0010000738092014489,-6.617178041432762e-05,-0.00018407752508986175,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",1,0.0008654301178799718,0.0009152725365913144,0.00016463600312610082,0.0026668744566856538,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",2,0.0009105850460158802,0.0009214896644818984,0.00044275980896751795,0.0033069145582844506,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",3,0.0009348017819926628,0.000896464323568643,0.00033688538072836446,0.00360222621802021,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",4,0.0010872267100061862,0.0009992299685313377,0.0005271987392077633,0.00515786839435448,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",5,0.001388786285951054,0.0011759041117535255,0.0007421089101492901,0.007555160210928714,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",6,0.0017437176433632898,0.0014330303666799896,0.0010575078728110668,0.008352201404428007,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",7,0.002015884255546014,0.0017918838613123088,0.0010926533832293064,0.008391089318331742,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",8,0.0021581550661938786,0.0019491560150979531,0.0009790131936603258,0.00808604948748073,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",9,0.002271016883503108,0.002113559019133238,0.0009392976256118661,0.008655926564392605,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",10,0.002343876238385442,0.0023295069438414727,0.0008921568882384923,0.00887863392233031,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",11,0.002540550474420516,0.0024948477249717204,0.0012325882327740608,0.009779892118474276,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",12,0.002841325066121966,0.002727810651392545,0.0013671539997529435,0.011894039598494294,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",13,0.003091890961698416,0.0029463622390136102,0.0013400861949813547,0.01270118738661677,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",14,0.0033849527969764606,0.0032224581806174265,0.0015891810192726113,0.013577662805933149,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",15,0.003559554103683618,0.0034140483003088067,0.001574612469940628,0.012938023245510593,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",16,0.003600788376552327,0.0033419780332205077,0.00143534833577712,0.012192625193629597,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",17,0.0035584506879422786,0.0032241563047525758,0.0013824574672949706,0.011224376025164524,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",18,0.003453026075951522,0.0030323458153384782,0.0011601974579695691,0.01112063010827561,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",19,0.0034583259876468774,0.0028500962451500746,0.00145314765531035,0.011120599638649758,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",20,0.0032840067818176236,0.002584400113876039,0.0009633886204383313,0.010359067843855598,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",21,0.0031907167167788695,0.002366437818441596,0.0011978219656055176,0.009906213113763386,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",22,0.0031062464963367837,0.002176357033203284,0.0011337472117916253,0.009808082988123626,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",23,0.003030550313016093,0.0020810694439488686,0.0011581278377620504,0.009371316914096855,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",24,0.003006358179811862,0.0020694602955261105,0.0013165313840282542,0.008984038200889879,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",25,0.003043836555824392,0.00211297996781577,0.001295273672305869,0.010005071358680161,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",26,0.003058281143835653,0.0021511598803254017,0.00105729418728866,0.01113858641174365,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",27,0.00309610016118787,0.002220480667583644,0.0010147473423355187,0.012143992024174113,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",28,0.003219258309217505,0.002350547458632369,0.0014413283563898475,0.011661352051846941,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",29,0.003180876255708262,0.002408891153711598,0.0010786382315500563,0.01110175400415254,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",30,0.003080697217475144,0.002279079223035303,0.0010966086736861375,0.009805299057886005,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",31,0.0029691670421096708,0.00214575549118541,0.0011544051241901207,0.008673867907538395,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",32,0.0027681789314415867,0.001953778177950223,0.0006843752494103115,0.00896731217475915,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",33,0.002554063777675068,0.0017816326151755871,0.0005718862544209606,0.008550110409657679,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",34,0.0023498397556859126,0.0016539319916316405,0.0007888891332901667,0.006413748212321409,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",35,0.002156990729389122,0.001466962805138803,0.0006603252730856665,0.006041038032609733,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",36,0.0019182347863771572,0.0012798107626146638,0.0005111112849022742,0.004903840705467158,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",37,0.0017548117647512424,0.001281785157090153,0.0006111172303036875,0.00446233928836803,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",38,0.0016709387153489256,0.001268414036995012,0.0004835887780933025,0.005688214568658974,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",39,0.0016340352987490002,0.001329100747243282,0.0004551329874790764,0.0063199054014028005,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",40,0.0018489373859964242,0.0015729250745990637,0.0008709289398923162,0.008590204952553762,,,,
macro_core,"Фильтрация: инфляция, выпуск и ставка",41,0.0021226824620986335,0.0019311842337036522,0.0009632998616344342,0.010142770966259623,,,,
