scenario,scenario_label,period,channel,value
baseline,Базовое правило,0,labor_income,-0.8955420260300772
baseline,Базовое правило,0,financial_income,-10.204388341503952
baseline,Базовое правило,0,disposable_income,-3.4346079141164996
baseline,Базовое правило,1,labor_income,-0.9819302201053987
baseline,Базовое правило,1,financial_income,8.63443453911801
baseline,Базовое правило,1,disposable_income,1.6410139020844308
baseline,Базовое правило,2,labor_income,-0.5110700962002086
baseline,Базовое правило,2,financial_income,4.553076516689253
baseline,Базовое правило,2,disposable_income,0.8702183558050931
baseline,Базовое правило,3,labor_income,-0.25642017588151267
baseline,Базовое правило,3,financial_income,2.348111990162035
baseline,Базовое правило,3,disposable_income,0.45398781165099245
baseline,Базовое правило,4,labor_income,-0.11983593004625791
baseline,Базовое правило,4,financial_income,1.1659521459390894
baseline,Базовое правило,4,disposable_income,0.230873549131197
baseline,Базовое правило,5,labor_income,-0.04732581645525234
baseline,Базовое правило,5,financial_income,0.5383354091077936
baseline,Базовое правило,5,disposable_income,0.1124181936408535
baseline,Базовое правило,6,labor_income,-0.009441514369252557
baseline,Базовое правило,6,financial_income,0.20989466102752394
baseline,Базовое правило,6,disposable_income,0.050384266624420214
baseline,Базовое правило,7,labor_income,0.009847719180941551
baseline,Базовое правило,7,financial_income,0.041813131283541624
baseline,Базовое правило,7,disposable_income,0.018566553364889302
baseline,Базовое правило,8,labor_income,0.019233255767819396
baseline,Базовое правило,8,financial_income,-0.041054733201715224
baseline,Базовое правило,8,disposable_income,0.002789201255996706
baseline,Базовое правило,9,labor_income,0.023405993273262093
baseline,Базовое правило,9,financial_income,-0.07919254757486931
baseline,Базовое правило,9,disposable_income,-0.004578619041355046
baseline,Базовое правило,10,labor_income,0.024883769817012166
baseline,Базовое правило,10,financial_income,-0.09427859474341532
baseline,Базовое правило,10,disposable_income,-0.007618764304319707
baseline,Базовое правило,11,labor_income,0.02500820197114514
baseline,Базовое правило,11,financial_income,-0.09782589700901966
baseline,Базовое правило,11,disposable_income,-0.00849582850102321
baseline,Базовое правило,12,labor_income,0.02448683538582638
baseline,Базовое правило,12,financial_income,-0.09587679482349609
baseline,Базовое правило,12,disposable_income,-0.008343354013979887
