scenario,scenario_label,period,variable,value,raw_deviation,units
baseline,Базовое правило,0,Y,-0.2182728942730371,-0.002182728942730371,% отклонения
baseline,Базовое правило,1,Y,-0.11115849946659306,-0.0011115849946659307,% отклонения
baseline,Базовое правило,2,Y,-0.051412160532228565,-0.0005141216053222857,% отклонения
baseline,Базовое правило,3,Y,-0.01947537668868807,-0.0001947537668868807,% отклонения
baseline,Базовое правило,4,Y,-0.0027321237794818106,-2.7321237794818106e-05,% отклонения
baseline,Базовое правило,5,Y,0.005820218513001692,5.820218513001692e-05,% отклонения
baseline,Базовое правило,6,Y,0.009992576309264532,9.992576309264532e-05,% отклонения
baseline,Базовое правило,7,Y,0.011852492036873778,0.00011852492036873777,% отклонения
baseline,Базовое правило,8,Y,0.012513180167777119,0.00012513180167777118,% отклонения
baseline,Базовое правило,9,Y,0.012569022388936665,0.00012569022388936665,% отклонения
baseline,Базовое правило,10,Y,0.012334045479878061,0.0001233404547987806,% отклонения
baseline,Базовое правило,11,Y,0.01197173669375687,0.0001197173669375687,% отклонения
baseline,Базовое правило,12,Y,0.011565363397587233,0.00011565363397587233,% отклонения
baseline,Базовое правило,13,Y,0.011155884665869333,0.00011155884665869334,% отклонения
baseline,Базовое правило,14,Y,0.01076227799398798,0.00010762277993987979,% отклонения
baseline,Базовое правило,15,Y,0.01039235639897973,0.00010392356398979729,% отклонения
baseline,Базовое правило,16,Y,0.010048461805203763,0.00010048461805203763,% отклонения
baseline,Базовое правило,17,Y,0.009730411625783027,9.730411625783028e-05,% отклонения
baseline,Базовое правило,18,Y,0.009436983764901041,9.436983764901041e-05,% отклонения
baseline,Базовое правило,19,Y,0.009166633313327077,9.166633313327077e-05,% отклонения
baseline,Базовое правило,20,Y,0.008917813128335885,8.917813128335885e-05,% отклонения
baseline,Базовое правило,21,Y,0.0086890966982972,8.6890966982972e-05,% отклонения
baseline,Базовое правило,22,Y,0.008479207671073657,8.479207671073658e-05,% отклонения
baseline,Базовое правило,23,Y,0.008287009743562885,8.287009743562884e-05,% отклонения
baseline,Базовое правило,24,Y,0.008111483536429164,8.111483536429164e-05,% отклонения
baseline,Базовое правило,25,Y,0.007951702825954827,7.951702825954827e-05,% отклонения
baseline,Базовое правило,26,Y,0.007806815075821197,7.806815075821197e-05,% отклонения
baseline,Базовое правило,27,Y,0.0076760276716473065,7.676027671647306e-05,% отклонения
baseline,Базовое правило,28,Y,0.0075585995699474695,7.55859956994747e-05,% отклонения
baseline,Базовое правило,29,Y,0.007453837538037315,7.453837538037314e-05,% отклонения
baseline,Базовое правило,30,Y,0.007361096047870694,7.361096047870694e-05,% отклонения
baseline,Базовое правило,31,Y,0.007279780046876876,7.279780046876876e-05,% отклонения
baseline,Базовое правило,32,Y,0.007209350226270813,7.209350226270812e-05,% отклонения
baseline,Базовое правило,33,Y,0.007149330550016779,7.14933055001678e-05,% отклонения
baseline,Базовое правило,34,Y,0.007099318263838153,7.099318263838153e-05,% отклонения
baseline,Базовое правило,35,Y,0.007058996745598839,7.058996745598839e-05,% отклонения
baseline,Базовое правило,36,Y,0.007028151740954582,7.028151740954582e-05,% отклонения
baseline,Базовое правило,37,Y,0.0070066914874024385,7.006691487402439e-05,% отклонения
baseline,Базовое правило,38,Y,0.006994670920758055,6.994670920758055e-05,% отклонения
baseline,Базовое правило,39,Y,0.00699231932190086,6.99231932190086e-05,% отклонения
baseline,Базовое правило,40,Y,0.007000069525412685,7.000069525412685e-05,% отклонения
baseline,Базовое правило,41,Y,0.00701858412922894,7.018584129228939e-05,% отклонения
baseline,Базовое правило,42,Y,0.007048770709169517,7.048770709169516e-05,% отклонения
baseline,Базовое правило,43,Y,0.007091772319843221,7.091772319843221e-05,% отклонения
baseline,Базовое правило,44,Y,0.007148912138644693,7.148912138644693e-05,% отклонения
baseline,Базовое правило,45,Y,0.007221560814012749,7.221560814012749e-05,% отклонения
baseline,Базовое правило,46,Y,0.007310882630050151,7.310882630050151e-05,% отклонения
baseline,Базовое правило,47,Y,0.007417402038947115,7.417402038947114e-05,% отклонения
baseline,Базовое правило,48,Y,0.007540317515931392,7.540317515931392e-05,% отклонения
baseline,Базовое правило,49,Y,0.00767647830458412,7.67647830458412e-05,% отклонения
baseline,Базовое правило,50,Y,0.007818937951371166,7.818937951371166e-05,% отклонения
