scenario,scenario_label,period,component,component_label,value
baseline,Базовое правило,0,household_total,Отклик household-блока,-0.19570127549983332
baseline,Базовое правило,1,household_total,Отклик household-блока,-0.14840258654068436
baseline,Базовое правило,2,household_total,Отклик household-блока,-0.085071657097987
baseline,Базовое правило,3,household_total,Отклик household-блока,-0.04996508348504131
baseline,Базовое правило,4,household_total,Отклик household-блока,-0.030322585119519144
baseline,Базовое правило,5,household_total,Отклик household-блока,-0.019129691885690355
baseline,Базовое правило,6,household_total,Отклик household-блока,-0.012587667053058917
baseline,Базовое правило,7,household_total,Отклик household-блока,-0.008622212460595363
baseline,Базовое правило,8,household_total,Отклик household-блока,-0.006099967992143723
baseline,Базовое правило,9,household_total,Отклик household-блока,-0.004399886349389038
baseline,Базовое правило,10,household_total,Отклик household-блока,-0.0031796794771732687
baseline,Базовое правило,11,household_total,Отклик household-блока,-0.002249002786842517
baseline,Базовое правило,12,household_total,Отклик household-блока,-0.0015007125541717584
baseline,Базовое правило,13,household_total,Отклик household-блока,-0.0008735505845864666
baseline,Базовое правило,14,household_total,Отклик household-блока,-0.00033178899925139974
baseline,Базовое правило,15,household_total,Отклик household-блока,0.00014596051888774963
baseline,Базовое правило,16,household_total,Отклик household-блока,0.0005729575201136014
baseline,Базовое правило,17,household_total,Отклик household-блока,0.0009578119220989287
baseline,Базовое правило,18,household_total,Отклик household-блока,0.001306446968815293
baseline,Базовое правило,19,household_total,Отклик household-блока,0.0016232105763858283
baseline,Базовое правило,20,household_total,Отклик household-блока,0.0019115037716142245
baseline,Базовое правило,21,household_total,Отклик household-блока,0.0021741340705727
baseline,Базовое правило,22,household_total,Отклик household-блока,0.0024135125657495874
baseline,Базовое правило,23,household_total,Отклик household-блока,0.0026317631838501045
baseline,Базовое правило,24,household_total,Отклик household-блока,0.0028307836211018235
baseline,Базовое правило,25,household_total,Отклик household-блока,0.003012280591869013
baseline,Базовое правило,26,household_total,Отклик household-блока,0.003177792100869788
baseline,Базовое правило,27,household_total,Отклик household-блока,0.0033287036797517724
baseline,Базовое правило,28,household_total,Отклик household-блока,0.0034662621843946357
baseline,Базовое правило,29,household_total,Отклик household-блока,0.00359158890006172
baseline,Базовое правило,30,household_total,Отклик household-блока,0.0037056927144796118
baseline,Базовое правило,31,household_total,Отклик household-блока,0.0038094836491584737
baseline,Базовое правило,32,household_total,Отклик household-блока,0.0039037868872098024
baseline,Базовое правило,33,household_total,Отклик household-блока,0.003989357387095722
baseline,Базовое правило,34,household_total,Отклик household-блока,0.004066895233801033
baseline,Базовое правило,35,household_total,Отклик household-блока,0.004137061888058367
baseline,Базовое правило,36,household_total,Отклик household-блока,0.004200497444021959
baseline,Базовое правило,37,household_total,Отклик household-блока,0.004257838791470576
