scenario,scenario_label,period,mean_liquid_wealth,median_liquid_wealth,mean_illiquid_wealth,median_illiquid_wealth,mean_total_wealth,median_total_wealth,p10_liquid_wealth,p25_liquid_wealth,p75_liquid_wealth,p90_liquid_wealth,p10_illiquid_wealth,p25_illiquid_wealth,p75_illiquid_wealth,p90_illiquid_wealth,share_low_liquidity,share_wealthy_htm,share_top20_total_wealth,gini_liquid_wealth,gini_total_wealth,mean_mpc,median_mpc
baseline,Базовое правило,0,1.039999998730443,0.08897052667346173,12.960000026033857,7.125231940055185,14.000000024764297,9.741798928700359,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5933819694104535,0.3574695597801803,0.2032477510686679,0.771945528806649,0.533787231278242,0.10742480338147085,0.08631670292514594
baseline,Базовое правило,1,1.0381429456492448,0.08897052667346173,12.942621159175353,7.125231940055185,13.980764104824598,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5940030257361684,0.3574079797192764,0.20281833253700438,0.7723570438163643,0.5338358998077835,0.10922171221343908,0.08603284348677863
baseline,Базовое правило,2,1.0364088288927507,0.08897052667346173,12.954445242741278,7.125231940055185,13.990854071634027,9.74143957013356,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5946284343447819,0.35779893740960356,0.20304527420242519,0.7728584395834114,0.5339029573003853,0.10790021100022734,0.08557137431773494
baseline,Базовое правило,3,1.0356644711306189,0.08897052667346173,12.960559023232154,7.125231940055185,13.99622349436277,9.75079878947076,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.59483033716766,0.3579066865306574,0.2031638283813053,0.7730233744605697,0.5339327474034832,0.10716885247522959,0.08545127572936907
baseline,Базовое правило,4,1.0354415089020597,0.08897052667346173,12.963598931951807,7.125231940055185,13.999040440853868,9.741692909254576,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5948459212670656,0.3578962206695707,0.20322315050493994,0.7730257160922751,0.5339430699273114,0.1067632381109365,0.08531419500016889
baseline,Базовое правило,5,1.035484948994946,0.08897052667346173,12.965001233156105,7.125231940055185,14.000486182151054,9.751023543291504,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5947952073860204,0.35786113781652185,0.20324997290179583,0.7729552135182435,0.5339435452936123,0.10653735983141639,0.08524701910120507
baseline,Базовое правило,6,1.0356578039886384,0.08897052667346173,12.965543262946744,7.125231940055185,14.001201066935383,9.782221393259215,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5947062688583034,0.3578239648253361,0.20326124792681038,0.7728580067526676,0.5339392257573415,0.10641043105186793,0.08520955699549028
baseline,Базовое правило,7,1.0358874294589613,0.08897052667346173,12.96564320737608,7.125231940055185,14.00153063683504,9.751048344771528,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.194818751633658,25.0,0.5946053103756771,0.3577922576899355,0.20326656207490257,0.7727562450455356,0.5339327681302679,0.1063379173584752,0.08518838565826506
baseline,Базовое правило,8,1.0361360695328552,0.08897052667346173,12.965524169575582,7.125231940055185,14.001660239108435,9.741742781160559,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5945041811498099,0.35776711988219684,0.20327012137446177,0.7726600276866835,0.5339255608870673,0.10629544913429471,0.08517617395825994
baseline,Базовое правило,9,1.0363847137908424,0.08897052667346173,12.965303812282727,7.125231940055185,14.001688526073568,9.741737519353778,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5944080050805163,0.35774751598004567,0.20327323268899108,0.7725733161472634,0.5339183097388017,0.10626968507808414,0.08516892434443231
