scenario,scenario_label,period,group,variable,value
baseline,Базовое правило,0,liquid_q1,consumption,-0.2866251573859517
baseline,Базовое правило,1,liquid_q1,consumption,-0.20432325307695448
baseline,Базовое правило,2,liquid_q1,consumption,-0.05785040477833365
baseline,Базовое правило,3,liquid_q1,consumption,0.023983991214347678
baseline,Базовое правило,4,liquid_q1,consumption,0.06865520519976587
baseline,Базовое правило,5,liquid_q1,consumption,0.09180735302897818
baseline,Базовое правило,6,liquid_q1,consumption,0.10242737371877222
baseline,Базовое правило,7,liquid_q1,consumption,0.10578425446529507
baseline,Базовое правило,8,liquid_q1,consumption,0.10502188366839689
baseline,Базовое правило,9,liquid_q1,consumption,0.10204028685685752
baseline,Базовое правило,10,liquid_q1,consumption,0.09797886864352551
baseline,Базовое правило,11,liquid_q1,consumption,0.0934950913086993
baseline,Базовое правило,12,liquid_q1,consumption,0.08894139498092055
baseline,Базовое правило,13,liquid_q1,consumption,0.084485140020471
baseline,Базовое правило,14,liquid_q1,consumption,0.08018996300257242
baseline,Базовое правило,15,liquid_q1,consumption,0.07606823181107593
baseline,Базовое правило,16,liquid_q1,consumption,0.07211208873884999
baseline,Базовое правило,17,liquid_q1,consumption,0.06830967728899905
baseline,Базовое правило,18,liquid_q1,consumption,0.06465203791056381
baseline,Базовое правило,19,liquid_q1,consumption,0.06113478368970354
baseline,Базовое правило,20,liquid_q1,consumption,0.05775731649697169
baseline,Базовое правило,21,liquid_q1,consumption,0.05452123389374229
baseline,Базовое правило,22,liquid_q1,consumption,0.051428781874028794
baseline,Базовое правило,23,liquid_q1,consumption,0.04848170377933374
baseline,Базовое правило,24,liquid_q1,consumption,0.045680553301515076
baseline,Базовое правило,25,liquid_q1,consumption,0.043024405915237166
baseline,Базовое правило,26,liquid_q1,consumption,0.040510857908778654
baseline,Базовое правило,27,liquid_q1,consumption,0.03813620324475825
baseline,Базовое правило,28,liquid_q1,consumption,0.035895699118072416
baseline,Базовое правило,29,liquid_q1,consumption,0.03378385674437129
baseline,Базовое правило,30,liquid_q1,consumption,0.03179471729258189
baseline,Базовое правило,31,liquid_q1,consumption,0.029922091316051114
baseline,Базовое правило,32,liquid_q1,consumption,0.02815975320098339
baseline,Базовое правило,33,liquid_q1,consumption,0.02650159035305041
baseline,Базовое правило,34,liquid_q1,consumption,0.024941711548608612
baseline,Базовое правило,35,liquid_q1,consumption,0.023474520590785745
baseline,Базовое правило,36,liquid_q1,consumption,0.022094761270917352
baseline,Базовое правило,37,liquid_q1,consumption,0.020797538066757597
baseline,Базовое правило,38,liquid_q1,consumption,0.019578314455532955
baseline,Базовое правило,39,liquid_q1,consumption,0.018432887329112736
baseline,Базовое правило,40,liquid_q1,consumption,0.01735733207335711
baseline,Базовое правило,41,liquid_q1,consumption,0.016347907992666853
baseline,Базовое правило,42,liquid_q1,consumption,0.01540090876475795
baseline,Базовое правило,43,liquid_q1,consumption,0.014512437034307246
baseline,Базовое правило,44,liquid_q1,consumption,0.013678077520306604
baseline,Базовое правило,45,liquid_q1,consumption,0.012892439808673037
baseline,Базовое правило,46,liquid_q1,consumption,0.012148543109758573
baseline,Базовое правило,47,liquid_q1,consumption,0.011437023760594928
baseline,Базовое правило,48,liquid_q1,consumption,0.010745167670259249
baseline,Базовое правило,49,liquid_q1,consumption,0.010055811288372562
baseline,Базовое правило,50,liquid_q1,consumption,0.009346225769382915
baseline,Базовое правило,51,liquid_q1,consumption,0.008587211729816047
baseline,Базовое правило,52,liquid_q1,consumption,0.007742799017591984
baseline,Базовое правило,53,liquid_q1,consumption,0.006771179781545174
baseline,Базовое правило,54,liquid_q1,consumption,0.0056278088259183
baseline,Базовое правило,55,liquid_q1,consumption,0.004271973324956185
baseline,Базовое правило,56,liquid_q1,consumption,0.0026785226849377146
baseline,Базовое правило,57,liquid_q1,consumption,0.0008567646685152014
baseline,Базовое правило,58,liquid_q1,consumption,-0.0011213950758821043
baseline,Базовое правило,59,liquid_q1,consumption,-0.0030824164381020756
baseline,Базовое правило,0,liquid_q2,consumption,-0.32558600020608236
baseline,Базовое правило,1,liquid_q2,consumption,0.009458478014522282
baseline,Базовое правило,2,liquid_q2,consumption,0.4966831781607866
baseline,Базовое правило,3,liquid_q2,consumption,0.6772640945317602
baseline,Базовое правило,4,liquid_q2,consumption,0.7077378415416476
baseline,Базовое правило,5,liquid_q2,consumption,0.669669595286593
baseline,Базовое правило,6,liquid_q2,consumption,0.6043205775507156
baseline,Базовое правило,7,liquid_q2,consumption,0.5321389840743181
baseline,Базовое правило,8,liquid_q2,consumption,0.46283105417636705
baseline,Базовое правило,9,liquid_q2,consumption,0.4005428305081945
baseline,Базовое правило,10,liquid_q2,consumption,0.346547281832059
baseline,Базовое правило,11,liquid_q2,consumption,0.30067204969301914
baseline,Базовое правило,12,liquid_q2,consumption,0.26208142973004156
baseline,Базовое правило,13,liquid_q2,consumption,0.22971020048908333
baseline,Базовое правило,14,liquid_q2,consumption,0.20249649342729875
baseline,Базовое правило,15,liquid_q2,consumption,0.17949347165867247
baseline,Базовое правило,16,liquid_q2,consumption,0.15990880318931747
baseline,Базовое правило,17,liquid_q2,consumption,0.14310424362012525
baseline,Базовое правило,18,liquid_q2,consumption,0.12857639770554322
baseline,Базовое правило,19,liquid_q2,consumption,0.11593142893736444
baseline,Базовое правило,20,liquid_q2,consumption,0.10486056331934103
baseline,Базовое правило,21,liquid_q2,consumption,0.095119370584376
baseline,Базовое правило,22,liquid_q2,consumption,0.08651156506800951
baseline,Базовое правило,23,liquid_q2,consumption,0.07887695589568534
baseline,Базовое правило,24,liquid_q2,consumption,0.0720827561806173
baseline,Базовое правило,25,liquid_q2,consumption,0.06601741155723945
baseline,Базовое правило,26,liquid_q2,consumption,0.0605862231393845
baseline,Базовое правило,27,liquid_q2,consumption,0.05570820337516729
baseline,Базовое правило,28,liquid_q2,consumption,0.05131375877676206
baseline,Базовое правило,29,liquid_q2,consumption,0.047342920368465845
baseline,Базовое правило,30,liquid_q2,consumption,0.04374393701984996
baseline,Базовое правило,31,liquid_q2,consumption,0.0404721128784995
baseline,Базовое правило,32,liquid_q2,consumption,0.03748881405492717
baseline,Базовое правило,33,liquid_q2,consumption,0.03476059700761173
baseline,Базовое правило,34,liquid_q2,consumption,0.032258427564552467
baseline,Базовое правило,35,liquid_q2,consumption,0.029956967874931045
baseline,Базовое правило,36,liquid_q2,consumption,0.0278339122727614
baseline,Базовое правило,37,liquid_q2,consumption,0.02586935359822431
baseline,Базовое правило,38,liquid_q2,consumption,0.024045160504650023
baseline,Базовое правило,39,liquid_q2,consumption,0.02234434481445803
baseline,Базовое правило,40,liquid_q2,consumption,0.020750397596989337
baseline,Базовое правило,41,liquid_q2,consumption,0.019246573727438546
baseline,Базовое правило,42,liquid_q2,consumption,0.01781511065413345
baseline,Базовое правило,43,liquid_q2,consumption,0.01643637847069425
baseline,Базовое правило,44,liquid_q2,consumption,0.015087979987744382
baseline,Базовое правило,45,liquid_q2,consumption,0.013743853664440761
baseline,Базовое правило,46,liquid_q2,consumption,0.012373484578698442
baseline,Базовое правило,47,liquid_q2,consumption,0.010941402190188956
baseline,Базовое правило,48,liquid_q2,consumption,0.009407241843940886
baseline,Базовое правило,49,liquid_q2,consumption,0.0077267679343652985
baseline,Базовое правило,50,liquid_q2,consumption,0.005854391278964843
baseline,Базовое правило,51,liquid_q2,consumption,0.0037478372591630105
baseline,Базовое правило,52,liquid_q2,consumption,0.001375683747223151
baseline,Базовое правило,53,liquid_q2,consumption,-0.001271602362035563
baseline,Базовое правило,54,liquid_q2,consumption,-0.004166905866024929
baseline,Базовое правило,55,liquid_q2,consumption,-0.007228741123190055
baseline,Базовое правило,56,liquid_q2,consumption,-0.010303321354336797
