scenario,scenario_label,period,group,group_label,value
baseline,Базовое правило,0,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.031585534592124716
baseline,Базовое правило,1,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.011744976029388647
baseline,Базовое правило,2,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.03525914714347327
baseline,Базовое правило,3,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.04582079953844587
baseline,Базовое правило,4,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0503391322558216
baseline,Базовое правило,5,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.051305815367590275
baseline,Базовое правило,6,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.04952546232564228
baseline,Базовое правило,7,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.046385438848371756
baseline,Базовое правило,8,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.042666413104581885
baseline,Базовое правило,9,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.03880496316883681
baseline,Базовое правило,10,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.035039341073746705
baseline,Базовое правило,11,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.03149264830203992
baseline,Базовое правило,12,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.028221207423272936
baseline,Базовое правило,13,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.02524304237264795
baseline,Базовое правило,14,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.022554759827351903
baseline,Базовое правило,15,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.020141567617143093
baseline,Базовое правило,16,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.017983190248115465
baseline,Базовое правило,17,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.016057315606317967
baseline,Базовое правило,18,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.014341552245273186
baseline,Базовое правило,19,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.012814489847338248
baseline,Базовое правило,20,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.011456223723729179
baseline,Базовое правило,21,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.010248563862806856
baseline,Базовое правило,22,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.009175063234879205
baseline,Базовое правило,23,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.008220947265314547
baseline,Базовое правило,24,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.007372993769462198
baseline,Базовое правило,25,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.006619392462278189
baseline,Базовое правило,26,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.005949600686799485
baseline,Базовое правило,27,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.005354204369234676
baseline,Базовое правило,28,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.004824788563890745
baseline,Базовое правило,29,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.004353819198682697
baseline,Базовое правило,30,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.003934536033572958
baseline,Базовое правило,31,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0035608559718144483
baseline,Базовое правило,32,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0032272854318557012
baseline,Базовое правило,33,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.002928840288934168
baseline,Базовое правило,34,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0026609718877111587
baseline,Базовое правило,35,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0024194976827480643
baseline,Базовое правило,36,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.002200535216286102
baseline,Базовое правило,37,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0020004383722277233
baseline,Базовое правило,38,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0018157351951920177
baseline,Базовое правило,39,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0016430670909037479
baseline,Базовое правило,40,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0014791300380034875
baseline,Базовое правило,41,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0013206195928580713
baseline,Базовое правило,42,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0011641831995737153
baseline,Базовое правило,43,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0010063856492297041
baseline,Базовое правило,44,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.000843696715698999
baseline,Базовое правило,45,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0006725140107946831
baseline,Базовое правило,46,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0004892389863206253
baseline,Базовое правило,47,low_liquid_non_whtm,Низкая ликвидность без WHtM,0.0002904294084482782
baseline,Базовое правило,48,low_liquid_non_whtm,Низкая ликвидность без WHtM,7.305688941576065e-05
baseline,Базовое правило,49,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.000165098210055971
baseline,Базовое правило,50,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0004248823402614933
baseline,Базовое правило,51,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0007050104692443969
baseline,Базовое правило,52,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.001001111155724578
baseline,Базовое правило,53,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0013046160914205536
baseline,Базовое правило,54,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0016016140422891437
baseline,Базовое правило,55,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0018719199228581522
baseline,Базовое правило,56,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0020888151232396203
baseline,Базовое правило,57,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.0022202232579158765
baseline,Базовое правило,58,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.002232530046401076
baseline,Базовое правило,59,low_liquid_non_whtm,Низкая ликвидность без WHtM,-0.002098869244976553
baseline,Базовое правило,0,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.09788710218114531
baseline,Базовое правило,1,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.05675453413232938
baseline,Базовое правило,2,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.025450556930909557
baseline,Базовое правило,3,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.054476255702728765
baseline,Базовое правило,4,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.058942981329114984
baseline,Базовое правило,5,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.05670111404347009
baseline,Базовое правило,6,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.052742196721968025
baseline,Базовое правило,7,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.048904272660043706
baseline,Базовое правило,8,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.0456737208806909
baseline,Базовое правило,9,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.043055451911430065
baseline,Базовое правило,10,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.04091467674547391
baseline,Базовое правило,11,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.03910447468371084
baseline,Базовое правило,12,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.03750624488944164
baseline,Базовое правило,13,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.03603612727447188
baseline,Базовое правило,14,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.03463980395580612
baseline,Базовое правило,15,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.033284816055689316
baseline,Базовое правило,16,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.03195368549086138
baseline,Базовое правило,17,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.030638664949357283
baseline,Базовое правило,18,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.029338021695691968
baseline,Базовое правило,19,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.028053513258341194
baseline,Базовое правило,20,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.02678871765627414
baseline,Базовое правило,21,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.025547954893944513
baseline,Базовое правило,22,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.024335611524175363
baseline,Базовое правило,23,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.023155737886677522
baseline,Базовое правило,24,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.02201182816319213
baseline,Базовое правило,25,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.020906721116588027
baseline,Базовое правило,26,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.019842578464883086
baseline,Базовое правило,27,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.01882091123897355
baseline,Базовое правило,28,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.017842633903572706
baseline,Базовое правило,29,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.016908132691982478
baseline,Базовое правило,30,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.0160173392162258
baseline,Базовое правило,31,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.015169803563371805
baseline,Базовое правило,32,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.01436476319519171
baseline,Базовое правило,33,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.013601205257704007
baseline,Базовое правило,34,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.01287792075321048
baseline,Базовое правило,35,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.012193549421676922
baseline,Базовое правило,36,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.011546614336784234
baseline,Базовое правило,37,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.010935545155711891
baseline,Базовое правило,38,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.010358688731094726
baseline,Базовое правило,39,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.009814305439151046
baseline,Базовое правило,40,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.009300549229241608
baseline,Базовое правило,41,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.008815428983679504
baseline,Базовое правило,42,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.008356748717650637
baseline,Базовое правило,43,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.007922024353362454
baseline,Базовое правило,44,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.007508375862735137
baseline,Базовое правило,45,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.007112395636601355
baseline,Базовое правило,46,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.006729997699807743
baseline,Базовое правило,47,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.006356258190190861
baseline,Базовое правило,48,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.005985265920541441
baseline,Базовое правило,49,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.00561001291423062
baseline,Базовое правило,50,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.00522236814038478
baseline,Базовое правило,51,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.004813191688695481
baseline,Базовое правило,52,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.004372657731719295
baseline,Базовое правило,53,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.003890857000045938
baseline,Базовое правило,54,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.003358733840529751
baseline,Базовое правило,55,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.0027693688233486587
baseline,Базовое правило,56,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.002119539956963504
baseline,Базовое правило,57,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.0014114054337711597
baseline,Базовое правило,58,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),0.0006541418069170985
baseline,Базовое правило,59,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.00013427198625665294
baseline,Базовое правило,0,high_liquid,Высоколиквидные,-0.03632326134483127
baseline,Базовое правило,1,high_liquid,Высоколиквидные,-0.09920705566300413
baseline,Базовое правило,2,high_liquid,Высоколиквидные,-0.16694895246488844
baseline,Базовое правило,3,high_liquid,Высоколиквидные,-0.20211146556570372
baseline,Базовое правило,4,high_liquid,Высоколиквидные,-0.21235132973217746
baseline,Базовое правило,5,high_liquid,Высоколиквидные,-0.2086584647116535
baseline,Базовое правило,6,high_liquid,Высоколиквидные,-0.19746664658625454
baseline,Базовое правило,7,high_liquid,Высоколиквидные,-0.18279437298832132
baseline,Базовое правило,8,high_liquid,Высоколиквидные,-0.16708075944929432
baseline,Базовое правило,9,high_liquid,Высоколиквидные,-0.15167430379855035
baseline,Базовое правило,10,high_liquid,Высоколиквидные,-0.1372404916621453
baseline,Базовое правило,11,high_liquid,Высоколиквидные,-0.12404239765341528
baseline,Базовое правило,12,high_liquid,Высоколиквидные,-0.11212731339429598
baseline,Базовое правило,13,high_liquid,Высоколиквидные,-0.10143694195214217
baseline,Базовое правило,14,high_liquid,Высоколиквидные,-0.09186821597975565
baseline,Базовое правило,15,high_liquid,Высоколиквидные,-0.08330501156086921
baseline,Базовое правило,16,high_liquid,Высоколиквидные,-0.07563358680628833
baseline,Базовое правило,17,high_liquid,Высоколиквидные,-0.06874929445732261
baseline,Базовое правило,18,high_liquid,Высоколиквидные,-0.06255881835270273
baseline,Базовое правило,19,high_liquid,Высоколиквидные,-0.05698024623100667
baseline,Базовое правило,20,high_liquid,Высоколиквидные,-0.05194219657514322
baseline,Базовое правило,21,high_liquid,Высоколиквидные,-0.04738261615155885
baseline,Базовое правило,22,high_liquid,Высоколиквидные,-0.0432475433464356
baseline,Базовое правило,23,high_liquid,Высоколиквидные,-0.03948996521683351
baseline,Базовое правило,24,high_liquid,Высоколиквидные,-0.03606881243923386
baseline,Базовое правило,25,high_liquid,Высоколиквидные,-0.03294809671815039
baseline,Базовое правило,26,high_liquid,Высоколиквидные,-0.030096178300051832
baseline,Базовое правило,27,high_liquid,Высоколиквидные,-0.027485145611313953
baseline,Базовое правило,28,high_liquid,Высоколиквидные,-0.02509028863538113
baseline,Базовое правило,29,high_liquid,Высоколиквидные,-0.02288964943999025
baseline,Базовое правило,30,high_liquid,Высоколиквидные,-0.020863635714195878
baseline,Базовое правило,31,high_liquid,Высоколиквидные,-0.01899468561881866
baseline,Базовое правило,32,high_liquid,Высоколиквидные,-0.017266974426861804
baseline,Базовое правило,33,high_liquid,Высоколиквидные,-0.01566615522615307
baseline,Базовое правило,34,high_liquid,Высоколиквидные,-0.014179127531542919
baseline,Базовое правило,35,high_liquid,Высоколиквидные,-0.012793828985892647
baseline,Базовое правило,36,high_liquid,Высоколиквидные,-0.0114990466311968
baseline,Базовое правило,37,high_liquid,Высоколиквидные,-0.010284245592264965
baseline,Базовое правило,38,high_liquid,Высоколиквидные,-0.009139414588221739
baseline,Базовое правило,39,high_liquid,Высоколиквидные,-0.008054929624755134
baseline,Базовое правило,40,high_liquid,Высоколиквидные,-0.007021439700422635
baseline,Базовое правило,41,high_liquid,Высоколиквидные,-0.006029781450677675
baseline,Базовое правило,42,high_liquid,Высоколиквидные,-0.005070933669642888
baseline,Базовое правило,43,high_liquid,Высоколиквидные,-0.004136027523547502
baseline,Базовое правило,44,high_liquid,Высоколиквидные,-0.003216434295719024
baseline,Базовое правило,45,high_liquid,Высоколиквидные,-0.0023039595772755554
baseline,Базовое правило,46,high_liquid,Высоколиквидные,-0.0013911810391360477
baseline,Базовое правило,47,high_liquid,Высоколиквидные,-0.0004719759141059064
baseline,Базовое правило,48,high_liquid,Высоколиквидные,0.0004577066469449773
baseline,Базовое правило,49,high_liquid,Высоколиквидные,0.0013987662145231148
baseline,Базовое правило,50,high_liquid,Высоколиквидные,0.0023475024194118963
baseline,Базовое правило,51,high_liquid,Высоколиквидные,0.003293751360824445
baseline,Базовое правило,52,high_liquid,Высоколиквидные,0.0042186142548830755
baseline,Базовое правило,53,high_liquid,Высоколиквидные,0.005091907477109927
baseline,Базовое правило,54,high_liquid,Высоколиквидные,0.005869705155448614
baseline,Базовое правило,55,high_liquid,Высоколиквидные,0.006492772828772198
baseline,Базовое правило,56,high_liquid,Высоколиквидные,0.006887367870029837
baseline,Базовое правило,57,high_liquid,Высоколиквидные,0.006970849364516866
baseline,Базовое правило,58,high_liquid,Высоколиквидные,0.006665793828037547
baseline,Базовое правило,59,high_liquid,Высоколиквидные,0.005927853633061463
baseline,Базовое правило,0,other_households,Остальные домохозяйства,-0.02990537738179759
baseline,Базовое правило,1,other_households,Остальные домохозяйства,-0.004185972774740764
baseline,Базовое правило,2,other_households,Остальные домохозяйства,0.021167591292407643
baseline,Базовое правило,3,other_households,Остальные домохозяйства,0.051849326839391946
baseline,Базовое правило,4,other_households,Остальные домохозяйства,0.07274663102765742
baseline,Базовое правило,5,other_households,Остальные домохозяйства,0.081521843414783
baseline,Базовое правило,6,other_households,Остальные домохозяйства,0.08261132048546804
baseline,Базовое правило,7,other_households,Остальные домохозяйства,0.07888244901923862
baseline,Базовое правило,8,other_households,Остальные домохозяйства,0.07264065747181603
baseline,Базовое правило,9,other_households,Остальные домохозяйства,0.06541400236883642
