scenario,scenario_label,period,group,variable,value
baseline,Базовое правило,0,low_liquid,labor_income,-0.8955420260300608
baseline,Базовое правило,1,low_liquid,labor_income,-0.7756999043564073
baseline,Базовое правило,2,low_liquid,labor_income,-0.12216343831695242
baseline,Базовое правило,3,low_liquid,labor_income,0.15858489038890788
baseline,Базовое правило,4,low_liquid,labor_income,0.2643272810520223
baseline,Базовое правило,5,low_liquid,labor_income,0.2993572984969476
baseline,Базовое правило,6,low_liquid,labor_income,0.2998290238373744
baseline,Базовое правило,7,low_liquid,labor_income,0.28557392038970497
baseline,Базовое правило,8,low_liquid,labor_income,0.2658043819345946
baseline,Базовое правило,9,low_liquid,labor_income,0.24479406930598258
baseline,Базовое правило,10,low_liquid,labor_income,0.22446133646074182
baseline,Базовое правило,11,low_liquid,labor_income,0.20558700423539378
baseline,Базовое правило,12,low_liquid,labor_income,0.1884056653190966
baseline,Базовое правило,13,low_liquid,labor_income,0.172898443163829
baseline,Базовое правило,14,low_liquid,labor_income,0.15893893151021068
baseline,Базовое правило,15,low_liquid,labor_income,0.14636526202028735
baseline,Базовое правило,16,low_liquid,labor_income,0.1350144478307993
baseline,Базовое правило,17,low_liquid,labor_income,0.12473735640763339
baseline,Базовое правило,18,low_liquid,labor_income,0.1154038297952416
baseline,Базовое правило,19,low_liquid,labor_income,0.10690297563743241
baseline,Базовое правило,20,low_liquid,labor_income,0.09914130063747907
baseline,Базовое правило,21,low_liquid,labor_income,0.09204009243128115
baseline,Базовое правило,22,low_liquid,labor_income,0.08553275874522331
baseline,Базовое правило,23,low_liquid,labor_income,0.07956244655704599
baseline,Базовое правило,24,low_liquid,labor_income,0.07408005428861714
baseline,Базовое правило,25,low_liquid,labor_income,0.06904264228877124
baseline,Базовое правило,26,low_liquid,labor_income,0.06441219716075204
baseline,Базовое правило,27,low_liquid,labor_income,0.06015468864823218
baseline,Базовое правило,28,low_liquid,labor_income,0.0562393570821337
baseline,Базовое правило,29,low_liquid,labor_income,0.0526381766037476
baseline,Базовое правило,30,low_liquid,labor_income,0.049325448655451715
baseline,Базовое правило,31,low_liquid,labor_income,0.04627748956509083
baseline,Базовое правило,32,low_liquid,labor_income,0.04347238444932972
baseline,Базовое правило,33,low_liquid,labor_income,0.04088978554990791
