scenario,scenario_label,group,group_label,peak_consumption_response,integral_consumption_response
baseline,Базовая калибровка,low_liquid,Низкая ликвидность,-0.2583531860455096,3.3398222932442834
baseline,Базовая калибровка,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.24224285452971112,2.519238311631137
baseline,Базовая калибровка,high_liquid,Высоколиквидные,-0.6857611406019465,-9.713819548995772
baseline,Базовая калибровка,mpc_high,Высокая MPC,-0.26274880171064807,2.6313551439976197
lower_chi0,Меньший сдвиг в ребалансировочных издержках,low_liquid,Низкая ликвидность,-0.2581811524139192,3.4698086364759724
lower_chi0,Меньший сдвиг в ребалансировочных издержках,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.2418250375850069,2.502404735015073
lower_chi0,Меньший сдвиг в ребалансировочных издержках,high_liquid,Высоколиквидные,-0.618164830400252,-8.940419468743476
lower_chi0,Меньший сдвиг в ребалансировочных издержках,mpc_high,Высокая MPC,-0.2611560823515916,2.6451454043484004
high_omega,Ещё больший клин liquid-rate,low_liquid,Низкая ликвидность,-0.2974935252205485,4.073670854647161
high_omega,Ещё больший клин liquid-rate,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.28521905963428007,2.856723372744201
high_omega,Ещё больший клин liquid-rate,high_liquid,Высоколиквидные,-0.6999128069075226,-9.603643184728066
high_omega,Ещё больший клин liquid-rate,mpc_high,Высокая MPC,-0.290864516014989,2.9658080779701512
high_sigma_z,Более высокий доходный риск,low_liquid,Низкая ликвидность,-0.24105153653385597,2.909455552444387
high_sigma_z,Более высокий доходный риск,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.2243003937761885,2.4392675833358584
high_sigma_z,Более высокий доходный риск,high_liquid,Высоколиквидные,-0.5706332316871485,-8.154467806554825
high_sigma_z,Более высокий доходный риск,mpc_high,Высокая MPC,-0.23689173551417478,2.6632176175149938
stronger_household_combo,Комбинация более жёсткого household block,low_liquid,Низкая ликвидность,-0.25670173891632714,3.0542151491616094
stronger_household_combo,Комбинация более жёсткого household block,wealthy_htm,Состоятельные с низкой ликвидностью (WHtM),-0.24128528318405812,2.4791137386879623
stronger_household_combo,Комбинация более жёсткого household block,high_liquid,Высоколиквидные,-0.728613535600645,-9.9062166656812
stronger_household_combo,Комбинация более жёсткого household block,mpc_high,Высокая MPC,-0.2556633273092472,2.625123631367291
