scenario,scenario_label,period,a,mass
baseline,Базовое правило,0,0.0,0.01718432113596644
baseline,Базовое правило,0,0.09006460660490612,0.015766047939373546
baseline,Базовое правило,0,0.21257574666139822,0.019316005232237185
baseline,Базовое правило,0,0.3792225572535164,0.023355422346433095
baseline,Базовое правило,0,0.6059052855974003,0.02754214369850033
baseline,Базовое правило,0,0.9142523769509592,0.03233289633190736
baseline,Базовое правило,0,1.333684106226619,0.03862200583318045
baseline,Базовое правило,0,1.9042196502815902,0.047036727803669354
baseline,Базовое правило,0,2.6802954316542698,0.059393355491015876
baseline,Базовое правило,0,3.7359590528066504,0.07152083508963418
baseline,Базовое правило,0,5.171934388943833,0.08497778673258043
baseline,Базовое правило,0,7.125231940055185,0.09604563679173979
baseline,Базовое правило,0,9.782221393259215,0.10154381972613148
baseline,Базовое правило,0,13.396413685888078,0.1005468458432109
baseline,Базовое правило,0,18.312649206637353,0.09155863547653241
baseline,Базовое правило,0,25.0,0.08754123823117017
baseline,Базовое правило,0,47.15592934036566,0.059733231613896265
baseline,Базовое правило,0,79.08071848043826,0.023135615891755546
baseline,Базовое правило,0,125.08159463331742,0.002846951060414621
baseline,Базовое правило,0,191.36490186357162,4.769793023541345e-07
baseline,Базовое правило,0,286.87344832644783,7.496895631864475e-10
baseline,Базовое правило,0,424.49305164171244,1.5184423616517353e-12
baseline,Базовое правило,0,622.7910670346317,1.956191097920108e-15
baseline,Базовое правило,0,908.5214569027802,9.20341563650448e-19
baseline,Базовое правило,0,1320.234380667721,3.153743269941406e-21
baseline,Базовое правило,0,1913.4773033869203,1.7078179721734687e-22
baseline,Базовое правило,0,2768.2893460551436,6.318894667494014e-24
baseline,Базовое правило,0,4000.0,1.1709175858284758e-25
baseline,Базовое правило,1,0.0,0.017201461360289164
baseline,Базовое правило,1,0.09006460660490612,0.015781783982784296
baseline,Базовое правило,1,0.21257574666139822,0.01933538766942097
baseline,Базовое правило,1,0.3792225572535164,0.023378420459661334
baseline,Базовое правило,1,0.6059052855974003,0.027569031269465874
baseline,Базовое правило,1,0.9142523769509592,0.03236083616425924
baseline,Базовое правило,1,1.333684106226619,0.038670144588070325
baseline,Базовое правило,1,1.9042196502815902,0.047113819340117845
baseline,Базовое правило,1,2.6802954316542698,0.059430476982116225
baseline,Базовое правило,1,3.7359590528066504,0.0715817670900344
baseline,Базовое правило,1,5.171934388943833,0.08504658976994416
baseline,Базовое правило,1,7.125231940055185,0.096074269710421
baseline,Базовое правило,1,9.782221393259215,0.10154703312772974
baseline,Базовое правило,1,13.396413685888078,0.10051672264225125
baseline,Базовое правило,1,18.312649206637353,0.09150530186947149
baseline,Базовое правило,1,25.0,0.08733713067579128
baseline,Базовое правило,1,47.15592934036566,0.059654944361644695
baseline,Базовое правило,1,79.08071848043826,0.02307825882386832
baseline,Базовое правило,1,125.08159463331742,0.0028161474569359476
baseline,Базовое правило,1,191.36490186357162,4.7191266420077717e-07
baseline,Базовое правило,1,286.87344832644783,7.414175756802757e-10
baseline,Базовое правило,1,424.49305164171244,1.5005123153335576e-12
baseline,Базовое правило,1,622.7910670346317,1.929829496907639e-15
baseline,Базовое правило,1,908.5214569027802,9.071793098725677e-19
baseline,Базовое правило,1,1320.234380667721,3.109451870295948e-21
baseline,Базовое правило,1,1913.4773033869203,1.6833578696377345e-22
baseline,Базовое правило,1,2768.2893460551436,6.2266219293729876e-24
baseline,Базовое правило,1,4000.0,1.1534956470084514e-25
baseline,Базовое правило,4,0.0,0.017211394361887372
baseline,Базовое правило,4,0.09006460660490612,0.015758772803346144
baseline,Базовое правило,4,0.21257574666139822,0.019307937631286323
baseline,Базовое правило,4,0.3792225572535164,0.02334824283032665
baseline,Базовое правило,4,0.6059052855974003,0.027539208720741306
baseline,Базовое правило,4,0.9142523769509592,0.032323377491546706
baseline,Базовое правило,4,1.333684106226619,0.03861678028058616
baseline,Базовое правило,4,1.9042196502815902,0.04704869513569872
baseline,Базовое правило,4,2.6802954316542698,0.05931862406032319
baseline,Базовое правило,4,3.7359590528066504,0.07152778137775768
baseline,Базовое правило,4,5.171934388943833,0.08501616444811178
baseline,Базовое правило,4,7.125231940055185,0.09601745099848448
baseline,Базовое правило,4,9.782221393259215,0.10152643077156756
baseline,Базовое правило,4,13.396413685888078,0.10053586068927697
baseline,Базовое правило,4,18.312649206637353,0.09156070071014749
baseline,Базовое правило,4,25.0,0.08758149780164429
baseline,Базовое правило,4,47.15592934036566,0.0597576636415248
baseline,Базовое правило,4,79.08071848043826,0.02315059921814797
baseline,Базовое правило,4,125.08159463331742,0.002851776067821202
baseline,Базовое правило,4,191.36490186357162,1.0401971575712714e-06
baseline,Базовое правило,4,286.87344832644783,7.609316786989407e-10
baseline,Базовое правило,4,424.49305164171244,1.5436509034221675e-12
baseline,Базовое правило,4,622.7910670346317,2.003996864122206e-15
