output,input,response_period,shock_period,value
Y,monetary_policy_shock,0,0,-2.2333211280985763
Y,monetary_policy_shock,0,1,-1.811525368836183
Y,monetary_policy_shock,0,2,-1.4448666257752119
Y,monetary_policy_shock,0,3,-1.141381028268008
Y,monetary_policy_shock,0,4,-0.8986441943753328
Y,monetary_policy_shock,0,5,-0.7091486428432292
Y,monetary_policy_shock,0,6,-0.5636176421227886
Y,monetary_policy_shock,0,7,-0.452884200618118
Y,monetary_policy_shock,0,8,-0.3688339034619413
Y,monetary_policy_shock,0,9,-0.30476383837484233
Y,monetary_policy_shock,0,10,-0.2554041584310007
Y,monetary_policy_shock,0,11,-0.21676689953269493
Y,monetary_policy_shock,0,12,-0.18592546762878653
Y,monetary_policy_shock,0,13,-0.1607849304809644
Y,monetary_policy_shock,0,14,-0.1398743350382506
Y,monetary_policy_shock,0,15,-0.12217408176808989
Y,monetary_policy_shock,0,16,-0.1069807452563008
Y,monetary_policy_shock,0,17,-0.09380612735356404
Y,monetary_policy_shock,0,18,-0.08230491005039535
Y,monetary_policy_shock,0,19,-0.07222473557818038
Y,monetary_policy_shock,0,20,-0.06337300511403275
Y,monetary_policy_shock,0,21,-0.055595597974349154
Y,monetary_policy_shock,0,22,-0.04876373808969918
Y,monetary_policy_shock,0,23,-0.042766194048195746
Y,monetary_policy_shock,0,24,-0.037504810583632336
Y,monetary_policy_shock,0,25,-0.03289201024468024
Y,monetary_policy_shock,0,26,-0.02884938263454893
Y,monetary_policy_shock,0,27,-0.02530681927527315
Y,monetary_policy_shock,0,28,-0.022201883304663186
Y,monetary_policy_shock,0,29,-0.01947925241935455
Y,monetary_policy_shock,0,30,-0.017090164014821742
Y,monetary_policy_shock,0,31,-0.014991842756363907
Y,monetary_policy_shock,0,32,-0.013146915732620461
Y,monetary_policy_shock,0,33,-0.011522830931994101
Y,monetary_policy_shock,0,34,-0.010091295534894512
Y,monetary_policy_shock,0,35,-0.00882774804207908
Y,monetary_policy_shock,0,36,-0.007710873581836166
Y,monetary_policy_shock,0,37,-0.006722167724410599
Y,monetary_policy_shock,0,38,-0.0058455499103035845
Y,monetary_policy_shock,0,39,-0.005067025270289778
Y,monetary_policy_shock,0,40,-0.004374391385351033
Y,monetary_policy_shock,0,41,-0.003756985688704252
Y,monetary_policy_shock,0,42,-0.003205468472925128
Y,monetary_policy_shock,0,43,-0.0027116367052902103
Y,monetary_policy_shock,0,44,-0.002268263597014675
Y,monetary_policy_shock,0,45,-0.0018689600332067627
Y,monetary_policy_shock,0,46,-0.0015080540188120565
Y,monetary_policy_shock,0,47,-0.0011804865403402553
Y,monetary_policy_shock,0,48,-0.0008817244311114979
Y,monetary_policy_shock,0,49,-0.0006076975801482913
Y,monetary_policy_shock,0,50,-0.00035478015350588066
Y,monetary_policy_shock,0,51,-0.00011986252084224436
Y,monetary_policy_shock,0,52,9.938361641400824e-05
Y,monetary_policy_shock,0,53,0.00030382990715513035
Y,monetary_policy_shock,0,54,0.0004913560778006757
Y,monetary_policy_shock,0,55,0.0006535372721501072
Y,monetary_policy_shock,0,56,0.0007687028584260604
Y,monetary_policy_shock,0,57,0.0007876677912500977
Y,monetary_policy_shock,0,58,0.0006048030704935497
Y,monetary_policy_shock,0,59,0.0
Y,monetary_policy_shock,1,0,-1.1249991998749365
Y,monetary_policy_shock,1,1,-1.5921002829162703
Y,monetary_policy_shock,1,2,-1.1339207486837233
Y,monetary_policy_shock,1,3,-0.7689124967191138
Y,monetary_policy_shock,1,4,-0.4957621104123714
Y,monetary_policy_shock,1,5,-0.30229529373978586
Y,monetary_policy_shock,1,6,-0.17251241544523233
Y,monetary_policy_shock,1,7,-0.09052502550468099
Y,monetary_policy_shock,1,8,-0.042476359938725367
Y,monetary_policy_shock,1,9,-0.017239535104897293
Y,monetary_policy_shock,1,10,-0.006425366267947596
Y,monetary_policy_shock,1,11,-0.004047263760170307
Y,monetary_policy_shock,1,12,-0.006057666664497271
Y,monetary_policy_shock,1,13,-0.009878092218012453
Y,monetary_policy_shock,1,14,-0.01398400751041911
