scenario,scenario_label,period,b,a,delta_mass,steady_mass,path_mass
baseline,Базовое правило,4,0.0,0.0,3.535340637800602e-05,0.012300444841899355,0.01233579824827736
baseline,Базовое правило,4,0.0,0.09006460660490612,7.429327899511999e-06,0.006025058336811224,0.006032487664710736
baseline,Базовое правило,4,0.0,0.21257574666139822,8.797547332885236e-06,0.005637655219959053,0.005646452767291938
baseline,Базовое правило,4,0.0,0.3792225572535164,1.192165500461112e-05,0.0060207743869284715,0.006032696041933083
baseline,Базовое правило,4,0.0,0.6059052855974003,1.4981978602880003e-05,0.0067936404108203926,0.0068086223894232726
baseline,Базовое правило,4,0.0,0.9142523769509592,1.9484352052377002e-05,0.0079449160747548,0.007964400426807176
baseline,Базовое правило,4,0.0,1.333684106226619,2.6793674209353927e-05,0.009529984541502159,0.009556778215711513
baseline,Базовое правило,4,0.0,1.9042196502815902,4.0690648994179054e-05,0.011632813272157809,0.011673503921151988
baseline,Базовое правило,4,0.0,2.6802954316542698,7.176715005063374e-05,0.014368487601322042,0.014440254751372675
baseline,Базовое правило,4,0.0,3.7359590528066504,0.00016361548130562273,0.018584576256765746,0.01874819173807137
baseline,Базовое правило,4,0.0,5.171934388943833,0.0014122347712782618,0.037117209720455686,0.03852944449173395
baseline,Базовое правило,4,0.0,7.125231940055185,7.025803047418927e-05,0.05377856423634642,0.05384882226682061
baseline,Базовое правило,4,0.0,9.782221393259215,6.168999901622757e-05,0.055531272900159585,0.05559296289917581
baseline,Базовое правило,4,0.0,13.396413685888078,5.92315266040519e-05,0.05388080700890111,0.053940038535505164
baseline,Базовое правило,4,0.0,18.312649206637353,5.940478801775423e-05,0.048463136624152844,0.0485225414121706
baseline,Базовое правило,4,0.0,25.0,7.044385391757196e-05,0.03900907411474788,0.039079517968665455
baseline,Базовое правило,4,0.0,47.15592934036566,0.0019300745595642183,0.04154532977170893,0.04347540433127315
baseline,Базовое правило,4,0.0,79.08071848043826,3.923579478104511e-05,0.022687432320841784,0.02272666811562283
baseline,Базовое правило,4,0.0,125.08159463331742,4.743830001930228e-06,0.0028428339203016685,0.0028475777503035988
baseline,Базовое правило,4,0.0,191.36490186357162,5.61066194962312e-07,4.6204071610246883e-07,1.0231069110647808e-06
baseline,Базовое правило,4,0.0,286.87344832644783,3.860158097495463e-12,7.127646035510737e-10,7.166247616485692e-10
baseline,Базовое правило,4,0.0,424.49305164171244,4.7691533413679156e-15,1.4329197254090575e-12,1.4376888787504254e-12
baseline,Базовое правило,4,0.0,622.7910670346317,4.865409995182482e-18,1.848190441271125e-15,1.8530558512663077e-15
baseline,Базовое правило,4,0.0,908.5214569027802,-6.165658732488911e-23,8.750916171340223e-19,8.750299605466974e-19
baseline,Базовое правило,4,0.0,1320.234380667721,-1.1976476913916467e-22,3.150961666636214e-21,3.0311968974970494e-21
baseline,Базовое правило,4,0.0,1913.4773033869203,-6.720881593691051e-24,1.7078178114051987e-22,1.6406089954682882e-22
baseline,Базовое правило,4,0.0,2768.2893460551436,-2.530649150642478e-25,6.318894667494014e-24,6.065829752429766e-24
baseline,Базовое правило,4,0.0,4000.0,-4.771073519760288e-27,1.1709175858284758e-25,1.1232068506308729e-25
baseline,Базовое правило,4,0.08897052667346173,0.0,1.72096273579564e-05,0.0011858206746748134,0.0012030303020327698
baseline,Базовое правило,4,0.08897052667346173,0.09006460660490612,1.4778480677082352e-05,0.001297228882327751,0.0013120073630048335
baseline,Базовое правило,4,0.08897052667346173,0.21257574666139822,1.2119963347543552e-05,0.0012655964634496755,0.001277716426797219
baseline,Базовое правило,4,0.08897052667346173,0.3792225572535164,1.2941391307698088e-05,0.001380850533138504,0.001393791924446202
baseline,Базовое правило,4,0.08897052667346173,0.6059052855974003,1.5917038406840917e-05,0.0015649681162693374,0.0015808851546761783
baseline,Базовое правило,4,0.08897052667346173,0.9142523769509592,2.0195618359354368e-05,0.0018610029853602943,0.0018811986037196487
baseline,Базовое правило,4,0.08897052667346173,1.333684106226619,2.811692966385535e-05,0.0023587724066499293,0.0023868893363137847
baseline,Базовое правило,4,0.08897052667346173,1.9042196502815902,4.904055363541722e-05,0.0032528238399321062,0.0033018643935675235
baseline,Базовое правило,4,0.08897052667346173,2.6802954316542698,0.0005044803688614178,0.0055174096693584645,0.006021890038219882
baseline,Базовое правило,4,0.08897052667346173,3.7359590528066504,0.000734513699664683,0.019677412552881076,0.02041192625254576
