scenario,scenario_label,period,b,mass
baseline,Базовое правило,0,0.0,0.45369447431545246
baseline,Базовое правило,0,0.08897052667346173,0.07892497269161203
baseline,Базовое правило,0,0.209604071813136,0.06076252240338906
baseline,Базовое правило,0,0.3731689371350648,0.05713008949685382
baseline,Базовое правило,0,0.5949436113088571,0.05299692921514163
baseline,Базовое правило,0,0.89564392373896,0.033243322353834634
baseline,Базовое правило,0,1.3033580968401854,0.04714796089549541
baseline,Базовое правило,0,1.8561704487936153,0.043971384489251523
baseline,Базовое правило,0,2.605718825166612,0.0471816462703671
baseline,Базовое правило,0,3.622018056792183,0.04672925991044706
baseline,Базовое правило,0,5.0,0.045261606570426036
baseline,Базовое правило,0,7.788851931474873,0.027564591220061344
baseline,Базовое правило,0,11.336503384480594,0.005340133784821046
baseline,Базовое правило,0,15.849410896697492,5.1106382708710095e-05
baseline,Базовое правило,0,21.59020434374498,4.6e-322
baseline,Базовое правило,0,28.89297075596287,4.25e-322
baseline,Базовое правило,0,38.18269660367578,3.75e-322
baseline,Базовое правило,0,50.0,3.4e-322
baseline,Базовое правило,1,0.0,0.45523522039582076
baseline,Базовое правило,1,0.08897052667346173,0.07829838816078702
baseline,Базовое правило,1,0.209604071813136,0.06046941717956068
baseline,Базовое правило,1,0.3731689371350648,0.057145896463422455
baseline,Базовое правило,1,0.5949436113088571,0.052731187411269524
baseline,Базовое правило,1,0.89564392373896,0.03320158207373093
baseline,Базовое правило,1,1.3033580968401854,0.04726677210036011
baseline,Базовое правило,1,1.8561704487936153,0.04382012412034169
baseline,Базовое правило,1,2.605718825166612,0.04709305010726804
baseline,Базовое правило,1,3.622018056792183,0.04666832305797254
baseline,Базовое правило,1,5.0,0.045176316927987174
baseline,Базовое правило,1,7.788851931474873,0.027519602696840735
baseline,Базовое правило,1,11.336503384480594,0.005323423277738958
baseline,Базовое правило,1,15.849410896697492,5.0696026761230246e-05
baseline,Базовое правило,1,21.59020434374498,4.6e-322
baseline,Базовое правило,1,28.89297075596287,4.25e-322
baseline,Базовое правило,1,38.18269660367578,3.75e-322
baseline,Базовое правило,1,50.0,3.4e-322
baseline,Базовое правило,4,0.0,0.4578031877609976
baseline,Базовое правило,4,0.08897052667346173,0.07717203160022029
baseline,Базовое правило,4,0.209604071813136,0.05987070190584771
baseline,Базовое правило,4,0.3731689371350648,0.057210985382687124
baseline,Базовое правило,4,0.5949436113088571,0.05232033674697042
baseline,Базовое правило,4,0.89564392373896,0.03322531802803287
baseline,Базовое правило,4,1.3033580968401854,0.04749994356610463
baseline,Базовое правило,4,1.8561704487936153,0.04356641460130148
baseline,Базовое правило,4,2.605718825166612,0.0469072013898775
baseline,Базовое правило,4,3.622018056792183,0.04656243786657853
baseline,Базовое правило,4,5.0,0.04503331762522833
baseline,Базовое правило,4,7.788851931474873,0.02745908457176715
baseline,Базовое правило,4,11.336503384480594,0.00531791743505051
baseline,Базовое правило,4,15.849410896697492,5.112151919755838e-05
baseline,Базовое правило,4,21.59020434374498,4.6e-322
baseline,Базовое правило,4,28.89297075596287,4.25e-322
baseline,Базовое правило,4,38.18269660367578,3.75e-322
baseline,Базовое правило,4,50.0,3.4e-322
baseline,Базовое правило,8,0.0,0.45600848094956786
baseline,Базовое правило,8,0.08897052667346173,0.0782349833066843
baseline,Базовое правило,8,0.209604071813136,0.06026071689355756
baseline,Базовое правило,8,0.3731689371350648,0.05715817111783732
baseline,Базовое правило,8,0.5949436113088571,0.05246012285768173
baseline,Базовое правило,8,0.89564392373896,0.03324963553857576
baseline,Базовое правило,8,1.3033580968401854,0.04747238991218299
baseline,Базовое правило,8,1.8561704487936153,0.043730440392257666
baseline,Базовое правило,8,2.605718825166612,0.046993483756178345
baseline,Базовое правило,8,3.622018056792183,0.04658940981085015
baseline,Базовое правило,8,5.0,0.045030819658006344
baseline,Базовое правило,8,7.788851931474873,0.027446413489662737
baseline,Базовое правило,8,11.336503384480594,0.005313882943727282
baseline,Базовое правило,8,15.849410896697492,5.104937309163654e-05
baseline,Базовое правило,8,21.59020434374498,4.6e-322
baseline,Базовое правило,8,28.89297075596287,4.25e-322
baseline,Базовое правило,8,38.18269660367578,3.75e-322
baseline,Базовое правило,8,50.0,3.4e-322
baseline,Базовое правило,16,0.0,0.45431711847963396
baseline,Базовое правило,16,0.08897052667346173,0.07898535222128436
baseline,Базовое правило,16,0.209604071813136,0.06062260640504375
baseline,Базовое правило,16,0.3731689371350648,0.0571965923148252
baseline,Базовое правило,16,0.5949436113088571,0.05271038787778695
baseline,Базовое правило,16,0.89564392373896,0.033227706325451016
baseline,Базовое правило,16,1.3033580968401854,0.04727748270427168
baseline,Базовое правило,16,1.8561704487936153,0.04389021520999056
baseline,Базовое правило,16,2.605718825166612,0.04713597160520393
baseline,Базовое правило,16,3.622018056792183,0.04667662302024577
baseline,Базовое правило,16,5.0,0.045133481989299
baseline,Базовое правило,16,7.788851931474873,0.027462263952405322
baseline,Базовое правило,16,11.336503384480594,0.005313321416861048
baseline,Базовое правило,16,15.849410896697492,5.087647755894854e-05
baseline,Базовое правило,16,21.59020434374498,4.6e-322
baseline,Базовое правило,16,28.89297075596287,4.25e-322
baseline,Базовое правило,16,38.18269660367578,3.75e-322
baseline,Базовое правило,16,50.0,3.4e-322
baseline,Базовое правило,24,0.0,0.45393156253650524
baseline,Базовое правило,24,0.08897052667346173,0.07900682437669623
baseline,Базовое правило,24,0.209604071813136,0.06071358035398786
baseline,Базовое правило,24,0.3731689371350648,0.05718508555211547
baseline,Базовое правило,24,0.5949436113088571,0.05286401201146801
baseline,Базовое правило,24,0.89564392373896,0.033223142117663765
baseline,Базовое правило,24,1.3033580968401854,0.04719989004387522
baseline,Базовое правило,24,1.8561704487936153,0.04393235693472833
baseline,Базовое правило,24,2.605718825166612,0.04716535046325558
baseline,Базовое правило,24,3.622018056792183,0.046704645174483
baseline,Базовое правило,24,5.0,0.045207446951791304
baseline,Базовое правило,24,7.788851931474873,0.027496544209984364
baseline,Базовое правило,24,11.336503384480594,0.005318704951755599
baseline,Базовое правило,24,15.849410896697492,5.085432155132468e-05
baseline,Базовое правило,24,21.59020434374498,4.6e-322
baseline,Базовое правило,24,28.89297075596287,4.25e-322
baseline,Базовое правило,24,38.18269660367578,3.75e-322
baseline,Базовое правило,24,50.0,3.4e-322
baseline,Базовое правило,40,0.0,0.45375283835671454
baseline,Базовое правило,40,0.08897052667346173,0.07894907006203133
baseline,Базовое правило,40,0.209604071813136,0.06074680499968221
baseline,Базовое правило,40,0.3731689371350648,0.05715252726319764
baseline,Базовое правило,40,0.5949436113088571,0.05297488759832342
baseline,Базовое правило,40,0.89564392373896,0.033230675111525484
baseline,Базовое правило,40,1.3033580968401854,0.047150120191652115
baseline,Базовое правило,40,1.8561704487936153,0.04395967537258163
baseline,Базовое правило,40,2.605718825166612,0.04717725904500707
baseline,Базовое правило,40,3.622018056792183,0.04671808067600937
baseline,Базовое правило,40,5.0,0.045257847541625866
baseline,Базовое правило,40,7.788851931474873,0.027546049811073156
baseline,Базовое правило,40,11.336503384480594,0.005333122298981621
baseline,Базовое правило,40,15.849410896697492,5.104167145546906e-05
baseline,Базовое правило,40,21.59020434374498,4.6e-322
baseline,Базовое правило,40,28.89297075596287,4.25e-322
baseline,Базовое правило,40,38.18269660367578,3.75e-322
baseline,Базовое правило,40,50.0,3.4e-322
