параметр,значение,интерпретация,источник или комментарий
beta,0.972632625655981,Коэффициент дисконтирования,Подбирается по asset market
eis,0.5,Межвременная эластичность замещения,Baseline two-asset HANK
frisch,1.0,Фришева эластичность труда,Baseline two-asset HANK
chi0,0.35,Сдвиг в знаменателе функции издержек ребалансировки,Baseline two-asset HANK
chi1,23.0,Масштаб издержек ребалансировки,Подбирается в steady state
chi2,2.0,Кривизна издержек ребалансировки,Baseline two-asset HANK
phi_pi,1.5,Коэффициент реакции правила Тейлора на инфляцию,Классическая денежно-кредитная политика
phi_y,0.125,Коэффициент реакции правила Тейлора на выпуск,Классическая денежно-кредитная политика
rho_i,0.7,Инерционность процентной ставки,Классическая денежно-кредитная политика
kappap,0.1,Наклон ценовой кривой Филлипса,Номинальные жесткости
kappaw,0.1,Наклон кривой Филлипса по заработной плате,Номинальные жесткости
delta,0.02,Норма амортизации капитала,Производственный блок
omega,0.015,Спрэд между доходностью ликвидного актива и ставкой политики,Клин ликвидной доходности
rho_z,0.966,Персистентность идосинкратического дохода,Процесс идосинкратического дохода
sigma_z,0.88,Безусловная дисперсия лог-идосинкратического дохода,Процесс идосинкратического дохода
nB,18.0,Число узлов по liquid asset,Численная сетка
nA,28.0,Число узлов по illiquid asset,Численная сетка
nZ,3.0,Число узлов доходного процесса,Численная сетка
shock,0.001,Размер монетарного шока,Эксперимент денежно-кредитной политики
rho_eps,0.0,Персистентность монетарного шока,Эксперимент денежно-кредитной политики
