scenario_name,scenario_label,comparison_name,comparison_label,mean_delta_cumulative_loss,std_delta_cumulative_loss,ci_lower,ci_upper,num_seeds
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",belief_minus_classical,Фильтр + обучение минус фиксированное правило,-0.00540588454058039,0.0037332375805127567,-0.007604703911323928,-0.003241368373511348,10
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",rawobs_minus_classical,Наблюдения + обучение минус фиксированное правило,-0.00559561651956315,0.003865953782982814,-0.007889361838054089,-0.0033271193955119655,10
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",rawobs_minus_belief,Наблюдения + обучение минус обучение по состоянию,-0.00018973197898275004,0.0013462075842929498,-0.0010662162215564664,0.0004739966442904303,10
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",belief_minus_classical,Фильтр + обучение минус фиксированное правило,-0.005881769555604299,0.003975375383100895,-0.008195218659009804,-0.003602240308064734,10
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",rawobs_minus_classical,Наблюдения + обучение минус фиксированное правило,-0.00608741198793542,0.004206520927834735,-0.008572248062034785,-0.003717658226105333,10
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",rawobs_minus_belief,Наблюдения + обучение минус обучение по состоянию,-0.00020564243233113996,0.0008974162604069937,-0.000811267201572718,0.00024046023104767804,10
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",belief_minus_classical,Фильтр + обучение минус фиксированное правило,-0.0048183841259603205,0.0048743838853554915,-0.007945308627652015,-0.002242767076775642,10
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",rawobs_minus_classical,Наблюдения + обучение минус фиксированное правило,-0.004319395833315749,0.004607834019119869,-0.007222577606950553,-0.0018110150563684826,10
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",rawobs_minus_belief,Наблюдения + обучение минус обучение по состоянию,0.00049898829264453,0.0026534313218336226,-0.0013004348712780584,0.0018697125034928504,10
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",belief_minus_classical,Фильтр + обучение минус фиксированное правило,-0.00652965887957776,0.004648257437702203,-0.00922091901321356,-0.003948575338480318,10
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",rawobs_minus_classical,Наблюдения + обучение минус фиксированное правило,-0.0025063081028744577,0.0029437127642302657,-0.004328802096620145,-0.000959824161248989,10
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",rawobs_minus_belief,Наблюдения + обучение минус обучение по состоянию,0.0040233507767032505,0.002863032406290172,0.002463290597443477,0.005715906400383857,10
