scenario_name,scenario_label,best_learned_architecture,misspecification_name,misspecification_label,switching_classical_mean_cumulative_loss,best_learned_mean_cumulative_loss,misspecified_mean_cumulative_loss,best_learned_minus_misspecified,best_learned_relative_improvement_vs_misspecified_pct,misspecified_excess_loss_vs_switching,best_learned_excess_loss_vs_switching,best_learned_win_rate_vs_misspecified,misspecified_std_cumulative_loss,misspecified_mean_policy_volatility,misspecified_mean_corner_share,misspecified_any_unstable
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",raw_observations,inflation_only_rule,Inflation-only simple rule,0.007815624187786039,0.00200966922342712,0.0012299497078007632,0.0007797195156263567,-63.39442260777884,-0.006585674479985276,-0.00580595496435892,0.0,0.0005851742000935217,0.0007253080212476096,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",raw_observations,inflation_only_rule,Inflation-only simple rule,0.008929687147935314,0.0023986121583063303,0.0013405903502574906,0.0010580218080488393,-78.92208144312114,-0.007589096797677823,-0.006531074989628983,0.0,0.0005385459309445667,0.0008738426762552983,0.0,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",belief_state,inflation_only_rule,Inflation-only simple rule,0.007653356881731058,0.0036837226266454104,0.0011637490674016584,0.0025199735592437516,-216.53925488165433,-0.006489607814329401,-0.0039696342550856484,0.0,0.0005653672618668139,0.0006982129800140442,0.0,0
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",belief_state,inflation_only_rule,Inflation-only simple rule,0.008653316607635849,0.0036272001508271404,0.0012564821890430698,0.0023707179617840704,-188.67899461349282,-0.007396834418592779,-0.0050261164568087095,0.1,0.0005078284307280856,0.0008357560669172197,0.0,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",raw_observations,normal_only_filter,Single-regime normal-only filter,0.007815624187786039,0.00200966922342712,0.007605285745581139,-0.005595616522154018,73.57536204875946,-0.00021033844220490018,-0.00580595496435892,1.0,0.0048827477783954226,0.002574152369271236,0.05,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",raw_observations,normal_only_filter,Single-regime normal-only filter,0.008929687147935314,0.0023986121583063303,0.00848602414856888,-0.006087411990262549,71.73455888985606,-0.000443662999366434,-0.006531074989628983,1.0,0.005251577464655408,0.0028719420997515414,0.095,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",belief_state,normal_only_filter,Single-regime normal-only filter,0.007653356881731058,0.0036837226266454104,0.008502106755932378,-0.004818384129286965,56.67282554320929,0.0008487498742013172,-0.0039696342550856484,1.0,0.006113285307722324,0.0025993456494374126,0.11333333333333333,0
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",belief_state,normal_only_filter,Single-regime normal-only filter,0.008653316607635849,0.0036272001508271404,0.010156859028586259,-0.00652965887775912,64.28817077584257,0.00150354242095041,-0.0050261164568087095,1.0,0.006417641215439933,0.0028409036760610688,0.25000000000000006,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",raw_observations,overstated_noise,Overstated measurement noise,0.007815624187786039,0.00200966922342712,0.007784167002448927,-0.005774497779021808,74.18260396012995,-3.145718533711132e-05,-0.00580595496435892,1.0,0.005043942131910916,0.0026055435200214153,0.06,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",raw_observations,overstated_noise,Overstated measurement noise,0.008929687147935314,0.0023986121583063303,0.008884468046260386,-0.0064858558879540545,73.00218599676381,-4.5219101674928014e-05,-0.006531074989628983,1.0,0.005406747676128371,0.0029144983538233736,0.11333333333333333,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",belief_state,overstated_noise,Overstated measurement noise,0.007653356881731058,0.0036837226266454104,0.007095046601026734,-0.003411323974381325,48.08036037265303,-0.0005583102807043238,-0.0039696342550856484,1.0,0.005029158114235499,0.002401246570186133,0.056666666666666664,0
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",belief_state,overstated_noise,Overstated measurement noise,0.008653316607635849,0.0036272001508271404,0.008325770744363274,-0.0046985705935361334,56.43406163588118,-0.00032754586327257533,-0.0050261164568087095,1.0,0.005538257496275925,0.0026529891640834345,0.14166666666666666,0
macro_core_moderate_gap,"Инфляция, выпуск, ставка × умеренный режимный разрыв",raw_observations,wrong_persistence,Normal-biased regime persistence,0.007815624187786039,0.00200966922342712,0.007705185915597354,-0.005695516692170233,73.9179658292344,-0.00011043827218868614,-0.00580595496435892,1.0,0.004959355085798054,0.0025868464297611783,0.058333333333333334,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",raw_observations,wrong_persistence,Normal-biased regime persistence,0.008929687147935314,0.0023986121583063303,0.008795058577197472,-0.0063964464188911415,72.72772958527989,-0.0001346285707378416,-0.006531074989628983,1.0,0.005331728014270088,0.002930177916902619,0.11333333333333333,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",belief_state,wrong_persistence,Normal-biased regime persistence,0.007653356881731058,0.0036837226266454104,0.008414548565058515,-0.004730825938413105,56.22198151018938,0.0007611916833274569,-0.0039696342550856484,1.0,0.006048598478123797,0.002587710207571782,0.10833333333333332,0
thin_information_strong_gap,"Инфляция, ставка × сильный режимный разрыв",belief_state,wrong_persistence,Normal-biased regime persistence,0.008653316607635849,0.0036272001508271404,0.009774672173062498,-0.006147472022235359,62.891848579606076,0.0011213555654266494,-0.0050261164568087095,1.0,0.006181902794567201,0.0028223812430141965,0.205,0
