scenario_name,scenario_label,policy_name,policy_label,mean_cumulative_policy_loss,ci_lower,ci_upper,num_test_trajectories,policy_label_short_ru,policy_label_ru,input_set,input_set_label_ru,functional_class,functional_class_label_ru,parameter_selection,parameter_selection_label_ru,uses_distributional_variables,uses_observation_history,uses_rl_training
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0006649439997016827,0.0005966257660447957,0.0007389944675624716,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0007192021207213695,0.0006415482702052355,0.0008035587052442202,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.00078762114729914,0.000698130057684239,0.0008887630879933519,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008263772652449332,0.0007270961878405126,0.0009315252623830773,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.0025976118874930414,0.002093850563180789,0.003155197781265126,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.0035133885650875858,0.0027778486986750808,0.0043631757998103815,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.006144411640262597,0.005051986495381443,0.007247389133958381,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.00665799131166406,0.005514975128310358,0.007889292004201976,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0007556617270542741,0.0006814473709540862,0.0008343944323734523,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.0007730302948136205,0.0006840935932775445,0.0008705569626385407,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
