variant_name,training_seed,best_validation_return,final_validation_return,final_mean_episode_return
macro_core_moderate_gap_ppo_filtered_taylor_state,11,-0.0012616621496613946,-0.0031655676289023193,-0.002434231044388581
macro_core_moderate_gap_ppo_filtered_taylor_state,22,-0.001576819246397416,-0.005221535809427444,-0.006650783636104856
macro_core_moderate_gap_ppo_filtered_extended_state,11,-0.002193592089976999,-0.005136541792845381,-0.004503967461774755
macro_core_moderate_gap_ppo_filtered_extended_state,22,-0.0012848956629240254,-0.0020561126387621228,-0.003147216614727572
macro_core_strong_gap_ppo_filtered_taylor_state,11,-0.004386158671183055,-0.012403062301187442,-0.007311094309404455
macro_core_strong_gap_ppo_filtered_taylor_state,22,-0.0027421131108165304,-0.005946915357640336,-0.007072467432572136
macro_core_strong_gap_ppo_filtered_extended_state,11,-0.005754443991882609,-0.013946368946693398,-0.009373029845353736
macro_core_strong_gap_ppo_filtered_extended_state,22,-0.0019402631125212356,-0.00244382719173215,-0.003596389469020247
thin_information_moderate_gap_ppo_filtered_taylor_state,11,-0.0015973212491370865,-0.005231568634616771,-0.003689636043039845
thin_information_moderate_gap_ppo_filtered_taylor_state,22,-0.0015142442270685435,-0.00459822946731585,-0.005720046687522222
thin_information_moderate_gap_ppo_filtered_extended_state,11,-0.0015824564723402974,-0.00610631837185232,-0.0039874887463727205
thin_information_moderate_gap_ppo_filtered_extended_state,22,-0.0007615407896512695,-0.0007615407896512695,-0.0014414829303202937
thin_information_strong_gap_ppo_filtered_taylor_state,11,-0.003404419330345118,-0.010884753873584648,-0.006012515343536961
thin_information_strong_gap_ppo_filtered_taylor_state,22,-0.003261790423752424,-0.005675284782025119,-0.008829690218183464
thin_information_strong_gap_ppo_filtered_extended_state,11,-0.0035599566448343335,-0.008553665332219273,-0.008377330792555688
thin_information_strong_gap_ppo_filtered_extended_state,22,-0.0018284262088511972,-0.003834539318350735,-0.005044517776447373
