scenario_name,scenario_label,comparison_name,comparison_label,delta_inflation_loss,delta_output_gap_loss,delta_rate_change_loss
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,-3.142936869914216e-06,-0.00011191949199694028,3.6559255877745656e-08
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,-7.685959136796352e-07,-5.923389292872437e-06,-1.6038374640109946e-08
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,-1.4398036011078736e-07,-4.265817895677315e-05,4.595297918711186e-08
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,-2.30045411144141e-06,-7.233833234558538e-05,2.71677037162584e-08
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,0.0,0.0,0.0
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,0.0,0.0,0.0
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,-1.1131060904533694e-06,-2.428727454410281e-05,1.9863105175078504e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,8.864869415612728e-07,2.5236890736515722e-05,-3.912856212501139e-09
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,0.0,0.0,0.0
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,0.0,0.0,0.0
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,-1.8903520721343677e-06,-5.890158003671088e-05,2.2596079189438377e-08
