scenario_name,scenario_label,policy_name,solver_success,scale_used,solver_error,full_hank_cumulative_loss
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_observed_information,0,,ValueError: No convergence after 30 backward iterations!,
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_posterior_mean,1,1.0,,1.0069862239469733e-06
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_posterior_uncertainty,1,1.0,,1.0069862239469733e-06
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_posterior_distribution,1,1.0,,1.0069862239469733e-06
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_observed_information,1,1.0,,1.9437227155778578e-06
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_posterior_mean,1,1.0,,1.7385656995642796e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_posterior_uncertainty,1,1.0,,1.7385656995642796e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_posterior_distribution,1,1.0,,6.664343285276288e-06
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_observed_information,0,,ValueError: No convergence after 30 backward iterations!,
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_posterior_mean,1,1.0,,7.380976660993295e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_posterior_uncertainty,1,1.0,,7.380976660993295e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_posterior_distribution,1,1.0,,8.561969365792451e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_observed_information,1,1.0,,1.9437227155778578e-06
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_posterior_mean,1,1.0,,1.994253978281932e-06
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_posterior_uncertainty,1,1.0,,1.994253978281932e-06
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_posterior_distribution,1,1.0,,1.4120442885603554e-06
