scenario_name,scenario_label,comparison_name,comparison_label,left_info_set_name,right_info_set_name,left_info_set_label,right_info_set_label,mean_delta_cumulative_loss,std_delta_cumulative_loss,ci_lower,ci_upper,win_rate,tie_rate,probability_of_degradation,mean_relative_improvement_pct,num_test_trajectories
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,-0.00011502586961097674,6.31805904791459e-05,-0.00013320388513291914,-9.820093189004628e-05,1.0,0.0,0.0,17.30791074533725,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,-6.708023581192168e-06,7.088341679673907e-05,-2.6996900307469693e-05,1.2450355916391483e-05,0.58,0.0,0.42,-0.16132520900017153,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",-4.2756206337696836e-05,0.00011770280558355512,-7.381834966547315e-05,-1.0436850771449814e-05,0.7,0.0,0.3,4.851304327289867,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,-7.461161875331052e-05,5.8768325773653866e-05,-9.107606306934756e-05,-5.9146136258945234e-05,0.94,0.0,0.06,10.467045037534849,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",-2.5201749582805387e-05,3.6851057875166224e-05,-3.501129262532555e-05,-1.5210419822860575e-05,0.76,0.0,0.24,3.963572272107884,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,2.6119464821864476e-05,4.205044164573459e-05,1.4265640723869478e-05,3.777755658639615e-05,0.26,0.0,0.74,-3.461243199915112,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",-6.0769336029655775e-05,6.915622927830896e-05,-7.951357445379498e-05,-4.1761416239048344e-05,0.82,0.0,0.18,6.978005787738587,50
