scenario_name,scenario_label,comparison_name,comparison_label,left_info_set_name,right_info_set_name,left_info_set_label,right_info_set_label,mean_delta_cumulative_loss,std_delta_cumulative_loss,ci_lower,ci_upper,win_rate,tie_rate,probability_of_degradation,mean_relative_improvement_pct,num_test_trajectories
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,mean_minus_observed,Апостериорное среднее минус наблюдаемые переменные,posterior_mean,observed_information,Апостериорное среднее,Наблюдаемые переменные,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,regime_minus_mean,Добавление вероятности режима,posterior_regime,posterior_mean,Среднее и вероятность режима,Апостериорное среднее,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,uncertainty_minus_regime,Добавление меры неопределённости,posterior_uncertainty,posterior_regime,"Среднее, вероятность режима и неопределённость",Среднее и вероятность режима,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,distribution_minus_uncertainty,Добавление распределительных переменных,posterior_distribution,posterior_uncertainty,Распределительно расширенное состояние,"Среднее, вероятность режима и неопределённость",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50
