scenario_name,scenario_label,info_set_name,info_set_label,policy_name,policy_label,input_mode,coefficient_summary_ru,rho_i,feature_names,weight_observed_pi,weight_lagged_observed_pi,weight_observed_output_gap,weight_lagged_observed_output_gap,weight_mean_rstar_gap,weight_mean_productivity_gap,weight_mean_fiscal_gap,weight_mean_inflation_gap,weight_mean_output_gap,weight_stress_probability,weight_stress_entropy,weight_filtered_variance_trace,weight_mean_low_liquidity_gap,weight_mean_mean_mpc_gap
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_information_state,rho_i=0.70,0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,posterior_mean_state,"rho_i=0.30, средняя производительность=0.5, средний фискальный фактор=0.5",0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_regime,Среднее и вероятность режима,linear_posterior_regime,Линейное правило: Среднее и вероятность режима,posterior_regime_state,"rho_i=0.30, средняя производительность=0.5, средний фискальный фактор=0.5",0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_uncertainty,"Среднее, вероятность режима и неопределённость",linear_posterior_uncertainty,"Линейное правило: Среднее, вероятность режима и неопределённость",posterior_uncertainty_state,"rho_i=0.30, средняя производительность=0.5, средний фискальный фактор=0.5",0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability|stress_entropy|filtered_variance_trace,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,posterior_distribution,Распределительно расширенное состояние,linear_posterior_distribution,Линейное правило: Распределительно расширенное состояние,posterior_distribution_state,"rho_i=0.30, средняя производительность=0.5, средний фискальный фактор=0.5",0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability|stress_entropy|filtered_variance_trace|mean_low_liquidity_gap|mean_mean_mpc_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_information_state,"rho_i=0.70, инфляция с лагом=0.5",0.7,observed_pi|lagged_observed_pi|observed_output_gap|lagged_observed_output_gap,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,posterior_mean_state,"rho_i=0.70, средняя естественная ставка=1.5, средний фискальный фактор=0.25",0.7,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,posterior_regime,Среднее и вероятность режима,linear_posterior_regime,Линейное правило: Среднее и вероятность режима,posterior_regime_state,"rho_i=0.70, средняя естественная ставка=1.5, средний фискальный фактор=0.25",0.7,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,posterior_uncertainty,"Среднее, вероятность режима и неопределённость",linear_posterior_uncertainty,"Линейное правило: Среднее, вероятность режима и неопределённость",posterior_uncertainty_state,"rho_i=0.70, средняя естественная ставка=1.5, средний фискальный фактор=0.25",0.7,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability|stress_entropy|filtered_variance_trace,0.0,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,posterior_distribution,Распределительно расширенное состояние,linear_posterior_distribution,Линейное правило: Распределительно расширенное состояние,posterior_distribution_state,"rho_i=0.70, средняя производительность=0.5, средний фискальный фактор=0.5, средний ликвидностный разрыв=-0.5",0.7,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap|stress_probability|stress_entropy|filtered_variance_trace|mean_low_liquidity_gap|mean_mean_mpc_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,observed_information,Наблюдаемые переменные,linear_observed_information,Линейное правило: Наблюдаемые переменные,observed_information_state,rho_i=0.70,0.7,observed_pi|lagged_observed_pi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,posterior_mean,Апостериорное среднее,linear_posterior_mean,Линейное правило: Апостериорное среднее,posterior_mean_state,"rho_i=0.30, средняя производительность=0.5, средний фискальный фактор=0.5",0.3,mean_rstar_gap|mean_productivity_gap|mean_fiscal_gap|mean_inflation_gap|mean_output_gap,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
