variant_name,training_seed,best_validation_return,final_validation_return,final_mean_episode_return
macro_core_moderate_gap_ppo_filtered_taylor_state,11,-0.0017725472600012,-0.004784472168834483,-0.003632366938550569
macro_core_moderate_gap_ppo_filtered_taylor_state,22,-0.0015134597346514963,-0.005589675011864822,-0.007514899921031974
macro_core_moderate_gap_ppo_filtered_taylor_state,33,-0.0015632326471879926,-0.004410500764377597,-0.0028229896946153736
macro_core_moderate_gap_ppo_filtered_extended_state,11,-0.0021829907463561714,-0.004998410687610168,-0.004106572117669441
macro_core_moderate_gap_ppo_filtered_extended_state,22,-0.0012848956294895285,-0.0034152759352290545,-0.003622391622201329
macro_core_moderate_gap_ppo_filtered_extended_state,33,-0.006684216625186654,-0.01181327797487829,-0.01112861224781214
macro_core_strong_gap_ppo_filtered_taylor_state,11,-0.0045300936811944175,-0.012663286697205607,-0.007451704440961142
macro_core_strong_gap_ppo_filtered_taylor_state,22,-0.002742135886872868,-0.005867700846826048,-0.006845616925262868
macro_core_strong_gap_ppo_filtered_taylor_state,33,-0.002549562674659218,-0.011768607508675918,-0.008775975624410133
macro_core_strong_gap_ppo_filtered_extended_state,11,-0.005516422908711318,-0.012683397670460162,-0.01002722834991282
macro_core_strong_gap_ppo_filtered_extended_state,22,-0.0019399768951853594,-0.006608848806601298,-0.006937644116866666
macro_core_strong_gap_ppo_filtered_extended_state,33,-0.006831507589004623,-0.015776044194808592,-0.011944245633235526
thin_information_moderate_gap_ppo_filtered_taylor_state,11,-0.001050616439085322,-0.002205835749209367,-0.0016983625641069221
thin_information_moderate_gap_ppo_filtered_taylor_state,22,-0.0016391901587118438,-0.0056181143138802885,-0.007081445496778266
thin_information_moderate_gap_ppo_filtered_taylor_state,33,-0.0014272384142526246,-0.00535333970672566,-0.0025700900285731843
thin_information_moderate_gap_ppo_filtered_extended_state,11,-0.0016006632546232483,-0.005493319218378747,-0.003801485228010278
thin_information_moderate_gap_ppo_filtered_extended_state,22,-0.0008147081952746805,-0.0008147081952746805,-0.001582052349140887
thin_information_moderate_gap_ppo_filtered_extended_state,33,-0.00645817903874985,-0.00926513809918399,-0.011337447212910376
thin_information_strong_gap_ppo_filtered_taylor_state,11,-0.003298536688687769,-0.010436108620716245,-0.005031442109142238
thin_information_strong_gap_ppo_filtered_taylor_state,22,-0.0030879665269046884,-0.00545216679850856,-0.007598631535148184
thin_information_strong_gap_ppo_filtered_taylor_state,33,-0.002172148610455151,-0.008981983922703971,-0.006410886470785085
thin_information_strong_gap_ppo_filtered_extended_state,11,-0.003492575563779682,-0.009467421408178533,-0.009980993685679443
thin_information_strong_gap_ppo_filtered_extended_state,22,-0.0021254506011892486,-0.004509333692280372,-0.004901717196576585
thin_information_strong_gap_ppo_filtered_extended_state,33,-0.007041984428566359,-0.016070509273640635,-0.010023984191360002
