candidate_name,scenario_name,scenario_label,delta_cumulative_policy_loss_rl_minus_classical,delta_mean_policy_loss_rl_minus_classical,classical_mean_policy_loss,rl_mean_policy_loss,classical_policy_rate_rmse,rl_policy_rate_rmse,selected_training_seed,selected_checkpoint_iteration
baseline_rawobs,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",-0.0008234869715668,-1.3724782859446952e-05,8.568881499473358e-05,7.196403213528662e-05,0.001476919772312,0.0006124947904619,11,0
baseline_rawobs,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",-0.0008651903023319,-1.4419838372199095e-05,0.0001111669685313,9.674713015919004e-05,0.0019642056435736,0.0006473454719067,11,0
baseline_rawobs,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,-0.0004141632936095,-6.902721560158543e-06,8.474801601020672e-05,7.784529445004818e-05,0.0016366938003101,0.0005811245199361,22,0
baseline_rawobs,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,-7.262161899265762e-08,-1.2103603165433902e-09,0.0001125373380102,0.0001125361276499,0.001782683721257,0.0012289679577109,11,23
cautious_policy,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",-0.0005047767475545,-8.412945792576147e-06,7.218009550268951e-05,6.376714971011337e-05,0.0011980194517236,0.0004045071953606,11,0
cautious_policy,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",-0.0005734098458962,-9.556830764937067e-06,9.438152956370432e-05,8.482469879876725e-05,0.0013535254158832,0.0004026910564085,11,0
cautious_policy,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,-0.0001482092730956,-2.4701545515948514e-06,6.717623875581837e-05,6.470608420422352e-05,0.0013785244018772,0.0003709646697356,22,12
cautious_policy,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,-0.000171904082896,-2.8650680482682266e-06,8.434602045779465e-05,8.148095240952642e-05,0.0013540342652188,0.0006918575349977,11,12
larger_network,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",-0.0036565660969806,-6.0942768283010446e-05,9.240566853150742e-05,3.1462900248496976e-05,0.0015036517487838,0.0022453508098112,11,32
larger_network,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",-0.0048846886700948,-8.141147783491417e-05,0.0001232517677935,4.1840289958618936e-05,0.0021081102033069,0.0025634434301811,11,35
larger_network,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,-0.0020971951398538,-3.495325233089696e-05,9.447119082228088e-05,5.95179384913839e-05,0.0017307235040587,0.0017369621096465,11,0
larger_network,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,-0.0014692618315217,-2.4487697192029055e-05,0.0001187097836703,9.42220864783122e-05,0.0020502986802879,0.0018894132271473,11,0
robust_rollout,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",-0.0008832839209968,-1.4721398683280208e-05,8.568881499473358e-05,7.096741631145337e-05,0.001476919772312,0.0006542209890912,11,0
robust_rollout,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",-0.0008722819905292,-1.4538033175487396e-05,0.0001111669685313,9.662893535590172e-05,0.0019642056435736,0.0006711646156181,11,0
robust_rollout,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,-0.0004178589097694,-6.964315162824274e-06,8.474801601020672e-05,7.778370084738245e-05,0.0016366938003101,0.0004189756385737,22,0
robust_rollout,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,-0.0002913476704318,-4.855794507198184e-06,0.0001125373380102,0.000107681543503,0.001782683721257,0.0013821132339696,22,16
wider_actions,macro_core_moderate_gap,"Фильтрация: инфляция, выпуск и ставка × умеренный режимный разрыв",-0.0039664301274104,-6.610716879017454e-05,9.740267056563904e-05,3.1295501775464486e-05,0.0015295457691912,0.0023553963172459,11,28
wider_actions,macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",-0.0051979487567416,-8.663247927902782e-05,0.0001381533363181,5.15208570391281e-05,0.002214209520968,0.0024437729049339,11,31
wider_actions,thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,0.0002388377734637,3.98062955772839e-06,0.0001027103072112,0.0001066909367689,0.0017726527260617,0.001071038662872,22,23
wider_actions,thin_information_strong_gap,Фильтрация: инфляция и ставка × сильный режимный разрыв,0.000256242612964,4.270710216067067e-06,0.0001403458507084,0.0001446165609245,0.0033357460763876,0.0020417189033533,22,12
