euler_residual,labor_residual,capital_accumulation_residual,technology_law_residual
-9.261306712909538e-06,1.0884626533425035e-12,-1.3625746120737858e-05,0.0
-1.1921446423464759e-05,2.916333841085361e-12,-0.00010330430635718812,3.852403153523306e-19
-1.3715064630920776e-05,3.718803043284424e-12,-0.00016719802356668367,3.852403153523306e-19
-1.5762047975638215e-05,4.480860127387132e-12,-0.00024140602567968014,-7.811398283569729e-20
-2.719964753560466e-05,7.386535827436091e-12,-0.0006515048413149315,-3.4618332393448195e-19
-1.8357833283115727e-05,5.3637094765690555e-12,-0.00034101965020205677,-4.2429730677017925e-19
-2.118270549598186e-05,6.148859199583966e-12,-0.0004455645995911084,3.852403153523306e-19
-1.8568055082887178e-05,5.514699807918077e-12,-0.0003553890149810001,3.852403153523306e-19
-1.2873461236762683e-05,3.6317615581538117e-12,-0.00015207123373528472,-4.2429730677017925e-19
-9.93848420847364e-06,2.009947763781383e-12,-4.5414535126298e-05,-3.4618332393448195e-19
-8.758479026622422e-06,-7.815970093361101e-14,1.69456521703637e-07,0.0
-8.75078913792877e-06,1.7363888105137443e-13,7.884155195370113e-08,0.0
-9.213809296951448e-06,1.305178187749334e-12,-1.8413035549613707e-05,-3.852403153523306e-19
-9.250971669676793e-06,1.362465695819992e-12,-1.988607758107719e-05,3.852403153523306e-19
-1.939016132111699e-05,5.855760321082925e-12,-0.0003929337689534406,-3.4618332393448195e-19
-3.532177062517527e-05,9.176215343131845e-12,-0.0009701062304685593,-3.9056991417848646e-20
-5.2735877827499434e-05,1.1771916774705458e-11,-0.0015957588320123508,3.9056991417848646e-20
-6.372053070252893e-05,1.3185008640448359e-11,-0.001989953588525495,-3.9056991417848646e-20
-4.319665618045689e-05,1.0666578731388652e-11,-0.0012708172963389328,-3.9056991417848646e-20
-5.1400471242952574e-05,1.1871392757711872e-11,-0.0015667534283636537,-3.9056991417848646e-20
-4.789902483930529e-05,1.150146644590677e-11,-0.0014473748172498802,1.5800182528271712e-18
-1.977009425174193e-05,6.582290268397627e-12,-0.0004315281722107045,3.9056991417848646e-20
-1.9666994647597444e-05,6.616485137556082e-12,-0.0004284132300664822,-3.9056991417848646e-20
-1.1202888430834596e-05,3.6193270602780103e-12,-9.273745648741283e-05,3.9056991417848646e-20
-1.5529092402902776e-05,5.4987125963634745e-12,-0.0002691827953107406,3.9056991417848646e-20
-1.44395864460296e-05,5.169642491864579e-12,-0.00022516054642274241,3.9056991417848646e-20
-1.9952524276352097e-05,6.890932269243422e-12,-0.00043993057185254253,3.9056991417848646e-20
-1.9155625490968884e-05,6.747047365252e-12,-0.00040890254553183064,-3.9056991417848646e-20
-1.0405213103569053e-05,3.3564262480467733e-12,-4.4381473456311924e-05,-3.9056991417848646e-20
-2.102955479285938e-05,7.327916051735883e-12,-0.0004795967006181457,-3.9056991417848646e-20
-1.318114086501484e-05,4.9622528308646e-12,-0.00016449466052925743,-3.9056991417848646e-20
-1.019645150899835e-05,3.3382185904429203e-12,-2.3431553993091825e-05,-3.9056991417848646e-20
-1.1333382612945034e-05,4.150457755258685e-12,-7.731724271664575e-05,3.9056991417848646e-20
-1.9665244314219587e-05,7.188916129052814e-12,-0.0004222295357507732,1.5800182528271712e-18
-1.4677672156378047e-05,5.75139935676816e-12,-0.00021828444702620684,-3.9056991417848646e-20
-1.5434830984395212e-05,6.076472658378406e-12,-0.00024691088673733924,-3.9056991417848646e-20
-1.1128596009993316e-05,4.2574832548325495e-12,-5.033915016205981e-05,-3.9056991417848646e-20
-9.74449715320283e-06,3.1743496720082476e-12,3.2303483653350895e-05,3.9056991417848646e-20
-1.53745239794139e-05,-2.2226664952995634e-12,2.4254206698159916e-05,3.852403153523306e-19
-1.4643806193608762e-05,-1.9628743075372764e-12,3.921964735909e-05,3.9056991417848646e-20
-1.0091668799192551e-05,4.614086890342151e-13,0.00011051736068878881,3.9056991417848646e-20
-1.1868533055703059e-05,-7.176481631177011e-13,9.403356244952475e-05,3.9056991417848646e-20
-1.4597111450110225e-05,-1.903366353417368e-12,4.570511376478236e-05,0.0
-3.2097425762434173e-05,-6.197264923457623e-12,-0.000386277740915375,-3.4618332393448195e-19
-4.6678615241300095e-05,-8.602452084005563e-12,-0.0008020739399032805,-4.2429730677017925e-19
-5.1711659924774474e-05,-9.387601807020474e-12,-0.0009680008847272603,4.2429730677017925e-19
-8.395956841468148e-05,-1.327871146372672e-11,-0.001960526222866576,-3.852403153523306e-19
-4.7867667663023393e-05,-9.08384478748303e-12,-0.0009161637751660122,0.0
-3.348641444343493e-05,-6.8882677339843204e-12,-0.000517202547410278,-7.811398283569729e-20
-2.0107072514049543e-05,-4.0953906932372774e-12,-0.00015613245496304273,-4.2429730677017925e-19
-1.6569983286801594e-05,-3.0979663279140364e-12,-6.869674199272423e-05,-3.4618332393448195e-19
-9.515296302576179e-06,5.631051180898793e-13,7.093835616345245e-05,-3.9056991417848646e-20
-1.3025970111083812e-05,-1.7754686609805501e-12,1.6510872768549234e-05,-4.2429730677017925e-19
-1.238908481063972e-05,-1.482813871689359e-12,2.9894863359913867e-05,-4.2429730677017925e-19
-9.286327915791575e-06,2.254196829198918e-12,3.795337533141207e-05,3.9056991417848646e-20
-1.1581334494103056e-05,4.3227643686805095e-12,-8.679376415443585e-05,-3.9056991417848646e-20
-9.38734041636777e-06,2.5051072327642032e-12,3.7321081643781895e-05,3.9056991417848646e-20
-1.1101523626947643e-05,-6.172840016915869e-13,7.059159424116501e-05,3.9056991417848646e-20
-3.321287983783424e-05,-6.747047365252e-12,-0.0004901045136005421,-4.2429730677017925e-19
-9.951603243130143e-05,-1.503819291315267e-11,-0.002520465557598328,-3.852403153523306e-19
-9.994074444768891e-05,-1.52557966259792e-11,-0.0026011270103332156,4.2429730677017925e-19
-6.175879890665879e-05,-1.1318501691448544e-11,-0.0014470585622774479,-3.852403153523306e-19
-2.0488733330679368e-05,-4.523936780742588e-12,-0.00021696250484382062,-7.811398283569729e-20
-2.3300422653835094e-05,-5.257128066205041e-12,-0.0003036924563026843,3.852403153523306e-19
-1.4721091371236811e-05,-2.844835478299501e-12,-6.913494608973281e-05,-4.2429730677017925e-19
-1.2196029144398385e-05,-1.7967849430533531e-12,-7.085564128317401e-06,-3.4618332393448195e-19
-9.89018852378117e-06,-3.037570195374428e-13,4.0206793105568295e-05,3.852403153523306e-19
-9.878509714886898e-06,-2.8110846983508964e-13,4.113581145226419e-05,-4.2429730677017925e-19
-1.7111053127358567e-05,-3.654410107856165e-12,-0.00013438547087929464,7.811398283569729e-20
-1.8639883558481807e-05,-4.136246900543483e-12,-0.00018107431891856152,-3.4618332393448195e-19
-1.696061191928323e-05,-3.668620962571367e-12,-0.0001381836980556272,3.852403153523306e-19
-1.0361274339277601e-05,-7.762679388179094e-13,2.6991274912901986e-05,-3.4618332393448195e-19
-1.0896142727053223e-05,3.5753622285028537e-12,-7.387214329312994e-05,-3.9056991417848646e-20
-1.1891849355440501e-05,4.173550394170888e-12,-0.00011666918604547048,-3.9056991417848646e-20
-1.067103448085262e-05,3.5047520441366934e-12,-5.95915342103126e-05,-3.9056991417848646e-20
-1.3282171075784282e-05,-2.1911361614002085e-12,-2.2880963536309196e-05,3.852403153523306e-19
-1.4711764623075654e-05,-2.76667577736589e-12,-6.018305914956556e-05,-3.9056991417848646e-20
-2.529895815541272e-05,-5.696776383956604e-12,-0.0003602482722566691,-7.704806307046612e-19
-1.8746483361926734e-05,-4.127365116346482e-12,-0.00017873963491688016,-7.811398283569729e-20
-1.046890593521496e-05,-7.855938122247608e-13,3.0196110413882593e-05,-3.4618332393448195e-19
-9.090148148503178e-06,1.5836221223253233e-12,2.9574913025243174e-05,3.852403153523306e-19
-1.0064487907353199e-05,3.033573392485778e-12,-3.051398735465227e-05,-3.9056991417848646e-20
-1.7259552715327935e-05,-3.634870182622762e-12,-0.00012991833499320649,-3.4618332393448195e-19
-1.1503027166202039e-05,-1.3797851750041445e-12,1.388426317916469e-05,3.852403153523306e-19
-1.8462367450628288e-05,-4.019895527562766e-12,-0.0001671068933291053,7.811398283569729e-20
-1.1636565144320817e-05,-1.4876988529977098e-12,7.845499531811129e-06,-4.2429730677017925e-19
-1.9598612438943686e-05,-4.373834627813267e-12,-0.00020415663592920907,3.852403153523306e-19
-2.368222444463152e-05,-5.430322858046566e-12,-0.00032868413066644564,-7.811398283569729e-20
-2.1023694514019908e-05,-4.8334669600080815e-12,-0.00025793072502366954,-3.852403153523306e-19
-2.0018844162931625e-05,-4.6136428011323e-12,-0.00023467520969333572,7.811398283569729e-20
-1.382706066249214e-05,-2.6694202404087264e-12,-6.403126323917263e-05,7.811398283569729e-20
-1.772155161041693e-05,-4.023892330451417e-12,-0.00017564520200963327,7.811398283569729e-20
-1.3747953187013742e-05,-2.690736522481529e-12,-6.736269382123794e-05,-7.811398283569729e-20
-9.072204289390452e-06,6.661338147750938e-13,3.2477732295532746e-05,-4.2429730677017925e-19
-1.1422626138742055e-05,3.799627279477136e-12,-0.00010061892994528421,-3.9056991417848646e-20
-9.70723724728465e-06,2.5894841826357147e-12,-1.874174642324533e-05,0.0
-1.3403857552906124e-05,-2.4478197246935447e-12,-4.761167510380914e-05,-4.2429730677017925e-19
-1.4851376858186019e-05,-3.0264679651281767e-12,-8.811138333975065e-05,-7.811398283569729e-20
-1.4083556572782009e-05,-2.760014439218139e-12,-6.964306504819716e-05,7.811398283569729e-20
-1.6566426924611518e-05,-3.653521929436465e-12,-0.00014098128186290637,7.811398283569729e-20
-3.22264900098727e-05,-7.360778653264788e-12,-0.00062073138271046,7.811398283569729e-20
-3.308722701837045e-05,-7.59348139922622e-12,-0.0006625278535263845,-7.811398283569729e-20
-2.470075499599797e-05,-5.982769835100042e-12,-0.0004114834024431246,0.0
-3.961564678458542e-05,-8.856471112039799e-12,-0.0009022740808504182,-3.852403153523306e-19
-4.2977035791982834e-05,-9.485745522397337e-12,-0.0010347468294469306,-3.852403153523306e-19
-7.040004750302806e-05,-1.3242740237728866e-11,-0.00199527980465497,0.0
-6.426130050518825e-05,-1.2664980175713934e-11,-0.0018292391201253366,0.0
