t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
0,1.0,0.01,12.536453667590234,0.010000000000000002,0.9122465750662774,0.33154578524356104,1.238322272006988,0.3260756969407106,2.0960910565077542e-19,0.003644365047719672,0.0046732609935339516,0.012990887035861712,0.039613035167797135
1,0.0,0.0,12.549026775808867,0.009499999999999996,0.9126141939088974,0.3314136737409408,1.2378342205160189,0.32522002660712146,0.0010024212452171067,0.0040472657553712234,0.004274710214663338,0.012596686185662783,0.03698543976077689
2,0.0,0.0,12.56044799027864,0.009024999999999991,0.91294087482953,0.3312905372710688,1.237357326912127,0.32441645208259695,0.0019121348384987954,0.004405163393973392,0.003903092019869779,0.012211347434576178,0.034511517926868775
3,0.0,0.0,12.570795157827886,0.008573749999999988,0.9132295930947842,0.33117582133811163,1.2368916004079802,0.32366200731319594,0.002735585399455481,0.004721364178873722,0.0035567621795302646,0.011834888538703143,0.03218326553931164
4,0.0,0.0,12.580141661190776,0.008145062499999984,0.9134831407935243,0.33106900427484315,1.2364370251790362,0.32295388438551187,0.003478818453587219,0.004998964149208025,0.00323417131867764,0.011467306787245097,0.029993021779895948
5,0.0,0.0,12.58855662888747,0.007737809374999982,0.913704136748977,0.33096959531304726,1.2359935627032814,0.32228942595430443,0.004147503652421382,0.005240861582762216,0.0029338596371386496,0.011108580857640628,0.027933461749023943
6,0.0,0.0,12.596105139709524,0.007350918906249979,0.9138950359939338,0.33087713277079056,1.2355611539344906,0.3216661179405568,0.0047469566939157305,0.005449768709114908,0.0026544519164843176,0.010758672542609761,0.025997588335660356
7,0.0,0.0,12.602848421352917,0.006983372960937478,0.9140581388175602,0.3307911823489351,1.235139721319602,0.3210815825020419,0.0052821600140072695,0.0056282227595868765,0.0023946527984826105,0.010417528357009032,0.024178723486319238
8,0.0,0.0,12.608844042848322,0.006634204312890601,0.914195599393679,0.33071133552982557,1.2347291706701822,0.32053357127650317,0.0057577823163928975,0.0057785963904510755,0.0021532423205500094,0.01008508103194447,0.022470498998256927
9,0.0,0.0,12.614146100531475,0.006302494097246068,0.9143094340014967,0.33063720807159563,1.2343293928973609,0.3200199588958642,0.00617819700403379,0.0059031075138942695,0.0019290716944632197,0.009761250903154639,0.020866846948842378
10,0.0,0.0,12.61880539737724,0.005987369392383762,0.9144015288505816,0.3305684385920099,1.2339402656190686,0.319538736768487,0.0065474995724713065,0.00600382856936275,0.0017210593153169486,0.009445947200276235,0.019361989860809902
11,0.0,0.0,12.622869615590437,0.005688000922764572,0.9144736475225559,0.33050468723618726,1.2335616546478476,0.31908800712529173,0.006869524021818015,0.0060826952661647326,0.0015281869884005341,0.009139069243195432,0.01795043069156177
12,0.0,0.0,12.626383482406148,0.005403600876626341,0.9145274380424259,0.33044563442295083,1.2331934153670514,0.31866597732462554,0.007147858341233764,0.006141514826535509,0.001349496362317199,0.008840507551353623,0.016626942724228416
13,0.0,0.0,12.62938892910275,0.005133420832795022,0.9145644395927771,0.33039097966491043,1.2328353940027343,0.31827095440995723,0.007385859116804724,0.0061819737567935015,0.0011840855572866605,0.00855014487150803,0.015386559428383295
14,0.0,0.0,12.63192524327395,0.0048767497911552694,0.9145860888842531,0.3303404404577248,1.2324874287981127,0.3179013399138596,0.007586665311004438,0.006205645172721342,0.001031105978156531,0.008267857129136998,0.014224564349426629
15,0.0,0.0,12.634029214441743,0.004632912301597504,0.9145937261957839,0.3302937512342938,1.2321493510970434,0.31755562490125944,0.007753211259322214,0.006213995703891492,0.0008897593022020617,0.007993514308362952,0.013136481077543297
16,0.0,0.0,12.635735273122286,0.0044012666865176275,0.9145886010980108,0.33025066237992223,1.2318209863425773,0.31723238524456654,0.00788823892718799,0.0062083920003167484,0.0007592946323189175,0.007726981264989453,0.012118063339764559
17,0.0,0.0,12.637075623480811,0.004181203352191744,0.9145718778732371,0.33021093930475737,1.2315021549962728,0.3169302771230357,0.007994309467996953,0.006190106863537999,0.000639005806711287,0.007468118476966041,0.01116528525201946
18,0.0,0.0,12.638080369731615,0.003972143184582155,0.9145446406450553,0.3301743615700463,1.2311926733835863,0.31664803273853104,0.008073814120834832,0.0061603250230613475,0.0005282288566492049,0.007216782736337977,0.010274331762034261
19,0.0,0.0,12.638777636454677,0.0037735360253530457,0.9145078982305661,0.33014072206498746,1.2308923544703498,0.31638445623978373,0.008128984484419384,0.006120148577920469,0.0004263396043158252,0.006972827786506246,0.009441589308627462
20,0.0,0.0,12.639193683012554,0.003584859224085392,0.9144625887278284,0.33010982623115465,1.2306010085750088,0.3161384198471804,0.008161902201799145,0.00607060212206439,0.00033275139318879126,0.006736104908374206,0.008663636718093424
21,0.0,0.0,12.639353012260111,0.0034056162628811207,0.9144095838508557,0.3300814913316727,1.2303184440210206,0.31590886017016495,0.00817450808848104,0.006012637571252836,0.000246912943801085,0.006506463458767414,0.007937236354173611
22,0.0,0.0,12.639278473746007,0.0032353354497370633,0.9143496930241402,0.33005554576249585,1.2300444677335218,0.3156947747093817,0.008168610734888514,0.005947138708177549,0.00016830632810688065,0.00628375136428534,0.007259325534287748
23,0.0,0.0,12.63899136160878,0.0030735686772502087,0.9142836672483107,0.330031828403314,1.2297788857841228,0.3154952185358121,0.008145894612376211,0.005874925461615875,9.644505603813476e-05,0.006067815573569858,0.006627008221421027
