t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
0,1.0,0.01,12.536453667590234,0.01,0.9122465750662779,0.33154578524356093,1.2383222720069877,0.3260756969407098,0.0,0.0036443650477202263,0.004673260993533538,0.012990887035861494,0.03961303516779479
1,0.0,0.0,12.549026775808864,0.0095,0.9126141939088978,0.3314136737409407,1.2378342205160187,0.3252200266071209,0.0010024212452170408,0.004047265755371762,0.0042747102146629195,0.012596686185662563,0.036985439760775174
2,0.0,0.0,12.560447990278638,0.009025,0.9129408748295307,0.3312905372710686,1.237357326912127,0.3244164520825963,0.0019121348384986648,0.004405163393973916,0.00390309201986936,0.012211347434576178,0.03451151792686663
3,0.0,0.0,12.570795157827883,0.00857375,0.9132295930947848,0.3311758213381115,1.2368916004079804,0.3236620073131956,0.002735585399455287,0.0047213641788742275,0.003556762179529845,0.011834888538703363,0.032183265539310564
4,0.0,0.0,12.580141661190773,0.0081450625,0.9134831407935248,0.331069004274843,1.236437025179036,0.3229538843855112,0.003478818453586963,0.004998964149208509,0.0032341713186772223,0.011467306787244879,0.029993021779893794
5,0.0,0.0,12.588556628887465,0.007737809374999999,0.9137041367489774,0.3309695953130471,1.2359935627032808,0.3222894259543033,0.004147503652421066,0.005240861582762677,0.0029338596371382354,0.011108580857639971,0.02793346174902049
6,0.0,0.0,12.596105139709518,0.007350918906249998,0.9138950359939343,0.3308771327707904,1.23556115393449,0.32166611794055566,0.004746956693915357,0.005449768709115345,0.0026544519164839074,0.010758672542609102,0.025997588335656893
7,0.0,0.0,12.602848421352912,0.006983372960937498,0.9140581388175605,0.33079118234893506,1.2351397213196016,0.3210815825020411,0.005282160014006839,0.005628222759587288,0.0023946527984822054,0.010417528357008593,0.024178723486316854
8,0.0,0.0,12.608844042848315,0.006634204312890623,0.9141955993936792,0.3307113355298254,1.2347291706701813,0.32053357127650206,0.005757782316392413,0.005778596390451461,0.00215324232054961,0.01008508103194381,0.022470498998253454
9,0.0,0.0,12.61414610053147,0.006302494097246091,0.9143094340014971,0.33063720807159547,1.2343293928973607,0.32001995889586354,0.006178197004033254,0.005903107513894628,0.0019290716944628274,0.009761250903154418,0.020866846948840202
10,0.0,0.0,12.618805397377232,0.005987369392383786,0.9144015288505817,0.33056843859200974,1.2339402656190679,0.3195387367684862,0.00654749957247072,0.00600382856936308,0.0017210593153165648,0.009445947200275796,0.019361989860807505
11,0.0,0.0,12.62286961559043,0.005688000922764597,0.9144736475225562,0.3305046872361872,1.2335616546478472,0.31908800712529095,0.006869524021817381,0.006082695266165035,0.0015281869884001592,0.009139069243195212,0.01795043069155937
12,0.0,0.0,12.626383482406139,0.005403600876626367,0.914527438042426,0.33044563442295066,1.233193415367051,0.318665977324625,0.007147858341233085,0.006141514826535783,0.0013494963623168334,0.008840507551353403,0.016626942724226667
13,0.0,0.0,12.629388929102742,0.005133420832795048,0.9145644395927773,0.3303909796649103,1.2328353940027337,0.31827095440995634,0.007385859116804002,0.0061819737567937495,0.0011840855572863042,0.00855014487150759,0.015386559428380672
14,0.0,0.0,12.631925243273937,0.0048767497911552955,0.9145860888842533,0.3303404404577247,1.232487428798112,0.3179013399138587,0.007586665311003675,0.006205645172721561,0.0010311059781561846,0.008267857129136337,0.014224564349424002
15,0.0,0.0,12.634029214441732,0.00463291230159753,0.9145937261957839,0.33029375123429366,1.2321493510970425,0.31755562490125855,0.007753211259321413,0.0062139957038916845,0.0008897593022017252,0.00799351430836229,0.013136481077540448
16,0.0,0.0,12.635735273122275,0.0044012666865176535,0.914588601098011,0.3302506623799221,1.2318209863425764,0.31723238524456543,0.00788823892718715,0.006208392000316913,0.0007592946323185918,0.007726981264988792,0.01211806333976105
17,0.0,0.0,12.6370756234808,0.004181203352191771,0.9145718778732371,0.3302109393047572,1.2315021549962721,0.316930277123035,0.00799430946799608,0.006190106863538136,0.0006390058067109722,0.00746811847696538,0.011165285252017263
18,0.0,0.0,12.638080369731604,0.003972143184582182,0.9145446406450553,0.33017436157004626,1.231192673383586,0.3166480327385308,0.008073814120833927,0.006160325023061459,0.0005282288566489011,0.007216782736337977,0.010274331762033384
19,0.0,0.0,12.638777636454664,0.0037735360253530726,0.9145078982305663,0.3301407220649874,1.2308923544703496,0.3163844562397833,0.00812898448441845,0.006120148577920556,0.0004263396043155321,0.006972827786506026,0.009441589308626142
20,0.0,0.0,12.63919368301254,0.0035848592240854188,0.9144625887278284,0.3301098262311546,1.2306010085750079,0.3161384198471795,0.008161902201798186,0.006070602122064453,0.00033275139318850926,0.006736104908373324,0.008663636718090562
21,0.0,0.0,12.6393530122601,0.0034056162628811476,0.9144095838508557,0.3300814913316726,1.2303184440210198,0.31590886017016406,0.008174508088480057,0.0060126375712528735,0.00024691294380081404,0.006506463458766531,0.007937236354170967
22,0.0,0.0,12.639278473745996,0.0032353354497370902,0.9143496930241402,0.33005554576249574,1.2300444677335214,0.31569477470938123,0.008168610734887507,0.0059471387081775655,0.00016830632810662071,0.00628375136428512,0.007259325534286205
23,0.0,0.0,12.638991361608769,0.0030735686772502355,0.9142836672483107,0.3300318284033139,1.229778885784122,0.3154952185358114,0.008145894612375183,0.005874925461615868,9.644505603788584e-05,0.006067815573569417,0.006627008221419041
