t,qz_z,gensys_z,diff_z,qz_log_k_dev,gensys_log_k_dev,diff_log_k_dev,qz_log_c_dev,gensys_log_c_dev,diff_log_c_dev,qz_log_n_dev,gensys_log_n_dev,diff_log_n_dev,qz_log_y_dev,gensys_log_y_dev,diff_log_y_dev,qz_log_i_dev,gensys_log_i_dev,diff_log_i_dev
0,0.01,0.010000000000000002,-1.734723475976807e-18,0.0,2.0960910565077542e-19,-2.0960910565077542e-19,0.0036443650477202263,0.003644365047719672,5.542441505745899e-16,0.004673260993533538,0.0046732609935339516,-4.137315490204685e-16,0.012990887035861494,0.012990887035861712,-2.185751579730777e-16,0.03961303516779479,0.039613035167797135,-2.345346139520643e-15
1,0.0095,0.009499999999999996,3.469446951953614e-18,0.0010024212452170408,0.0010024212452171067,-6.591949208711867e-17,0.004047265755371762,0.0040472657553712234,5.386316392907986e-16,0.0042747102146629195,0.004274710214663338,-4.180683577104105e-16,0.012596686185662563,0.012596686185662783,-2.203098814490545e-16,0.036985439760775174,0.03698543976077689,-1.7139067942650854e-15
2,0.009025,0.009024999999999991,8.673617379884035e-18,0.0019121348384986648,0.0019121348384987954,-1.3053794156725473e-16,0.004405163393973916,0.004405163393973392,5.238864897449957e-16,0.00390309201986936,0.003903092019869779,-4.189357194483989e-16,0.012211347434576178,0.012211347434576178,0.0,0.03451151792686663,0.034511517926868775,-2.1441182163073336e-15
3,0.00857375,0.008573749999999988,1.214306433183765e-17,0.002735585399455287,0.002735585399455481,-1.938553484404082e-16,0.0047213641788742275,0.004721364178873722,5.056718932472393e-16,0.003556762179529845,0.0035567621795302646,-4.193694003173931e-16,0.011834888538703363,0.011834888538703143,2.203098814490545e-16,0.032183265539310564,0.03218326553931164,-1.0755285551056204e-15
4,0.0081450625,0.008145062499999984,1.5612511283791264e-17,0.003478818453586963,0.003478818453587219,-2.5587171270657905e-16,0.004998964149208509,0.004998964149208025,4.839878497975292e-16,0.0032341713186772223,0.00323417131867764,-4.176346768414163e-16,0.011467306787244879,0.011467306787245097,-2.185751579730777e-16,0.029993021779893794,0.029993021779895948,-2.1545265571631944e-15
5,0.007737809374999999,0.007737809374999982,1.734723475976807e-17,0.004147503652421066,0.004147503652421382,-3.157196726277789e-16,0.005240861582762677,0.005240861582762216,4.605690828718423e-16,0.0029338596371382354,0.0029338596371386496,-4.141652298894627e-16,0.011108580857639971,0.011108580857640628,-6.574601973952099e-16,0.02793346174902049,0.027933461749023943,-3.452099717193846e-15
6,0.007350918906249998,0.007350918906249979,1.9081958235744878e-17,0.004746956693915357,0.0047469566939157305,-3.7383290907300193e-16,0.005449768709115345,0.005449768709114908,4.371503159461554e-16,0.0026544519164839074,0.0026544519164843176,-4.102621020685149e-16,0.010758672542609102,0.010758672542609761,-6.591949208711867e-16,0.025997588335656893,0.025997588335660356,-3.462508058049707e-15
7,0.006983372960937498,0.006983372960937478,1.9949319973733282e-17,0.005282160014006839,0.0052821600140072695,-4.3021142204224816e-16,0.005628222759587288,0.0056282227595868765,4.111294638065033e-16,0.0023946527984822054,0.0023946527984826105,-4.0505793164058446e-16,0.010417528357008593,0.010417528357009032,-4.388850394221322e-16,0.024178723486316854,0.024178723486319238,-2.383510055992133e-15
8,0.006634204312890623,0.006634204312890601,2.168404344971009e-17,0.005757782316392413,0.0057577823163928975,-4.848552115355176e-16,0.005778596390451461,0.0057785963904510755,3.8510861166685117e-16,0.00215324232054961,0.0021532423205500094,-3.9942008034365983e-16,0.01008508103194381,0.01008508103194447,-6.609296443471635e-16,0.022470498998253454,0.022470498998256927,-3.472916398905568e-15
9,0.006302494097246091,0.006302494097246068,2.3418766925686896e-17,0.006178197004033254,0.00617819700403379,-5.360295540768334e-16,0.005903107513894628,0.0059031075138942695,3.5822039778921066e-16,0.0019290716944628274,0.0019290716944632197,-3.922643460052555e-16,0.009761250903154418,0.009761250903154639,-2.203098814490545e-16,0.020866846948840202,0.020866846948842378,-2.175343238874916e-15
