t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
0,0.45677523755741145,0.004567752375574115,12.675096499199963,0.001794719173909303,0.9153805549479246,0.32967991899108123,1.2286299338811202,0.3132493789331956,0.01099846921609441,0.007073929975903618,-0.0009704131498400719,0.0051331036758060136,-0.0005169073306702311
1,-0.6619259410666513,-0.006619259410666513,12.671454839907037,-0.004914276195452675,0.9129920340303734,0.3286634302040754,1.2178790935408748,0.3048870595105013,0.01071111972469728,0.004461199626858391,-0.004058435823748171,-0.0036556720217605985,-0.02757510710569849
2,-0.3630538465650718,-0.003630538465650718,12.659452224113505,-0.00829910085133076,0.9113622370475187,0.3281951112043112,1.2122429419135385,0.3008807048660198,0.009763453961172557,0.002674488084846736,-0.00548437169758961,-0.008294255311765865,-0.04080266160861097
3,-0.3817378939983291,-0.003817378939983291,12.64367942535312,-0.011701524748747512,0.9095707330730417,0.3277408850251343,1.2065133782656696,0.2969426451926279,0.008516746555793988,0.000706810436195518,-0.006869342958181932,-0.013031875481897862,-0.05397751212519392
4,-1.1958396455890397,-0.011958396455890396,12.62428867888624,-0.023074844967200532,0.9049973691147294,0.3260858603522974,1.1883535596981154,0.283356190583386,0.006981937726421467,-0.004333919241014425,-0.01193193245721187,-0.028197784158304283,-0.10081178823984721
5,0.4869724807855818,0.0048697248078558185,12.591386147656154,-0.017051377910984686,0.9056056233491356,0.3271454626523804,1.1968930161734128,0.2912873928242772,0.004372247513494142,-0.003662038922888904,-0.008687742559679088,-0.02103752404432139,-0.07320613443103277
6,-0.46940234020272387,-0.004694023402027239,12.567547867138824,-0.020892832417462693,0.9033389286792511,0.3266605015661468,1.19036019311094,0.28702126443168885,0.002477231799625885,-0.006168136584841951,-0.010171244398804164,-0.026510625384831947,-0.0879602133380672
7,0.01249411872768743,0.0001249411872768743,12.539934870292452,-0.019723249609312682,0.9025644932835689,0.3269573698634377,1.1915024139903214,0.2889379207067525,0.00027764785342372926,-0.0070258075253103874,-0.009262859451938044,-0.02555152643132049,-0.0813046606545004
8,0.48074665890590895,0.0048074665890590895,12.515019030226911,-0.013929620539787958,0.9034227706865563,0.32795108347152074,1.1998959643325302,0.2964731936459739,-0.0017112481052582453,-0.006075327436413736,-0.00622819295578377,-0.018531713349382466,-0.055559713387319506
9,0.4465311760299441,0.004465311760299441,12.498464676883476,-0.008767827752499117,0.904424799684872,0.3288147183201837,1.2075618396840664,0.3031370399991944,-0.00303488266605932,-0.004966794706830512,-0.003598228532850474,-0.012163251773304568,-0.033331537961564385
10,0.6653851089727862,0.006653851089727863,12.489094685425457,-0.0016755852751462984,0.9063686031100645,0.3299470471889453,1.2185062608586426,0.31213765774857805,-0.0037848552233103174,-0.0028198858780154315,-0.0001604759393770028,-0.0031408377567392716,-0.00407221721221212
11,-0.09848548450942361,-0.0009848548450942362,12.48900514549492,-0.0025766608564832196,0.9060672224947651,0.3298085259553729,1.217078517126464,0.31101129463169885,-0.0037920246982617724,-0.003152455576561007,-0.0005803927729633827,-0.004313241122553807,-0.007687289785972535
12,-0.42329831204415375,-0.004232983120441538,12.487791390330797,-0.006680810934100596,0.9046617052650726,0.3291818297380345,1.2105767716459366,0.30591506638086396,-0.003889215317830551,-0.00470488840118218,-0.002482382387379197,-0.009669653176442004,-0.024209015871091467
