t,shock_name,epsilon_t,r_n,u,nu,x,pi,i
0,costpush,1.0,0.0,0.01,0.0,-0.016528925619834718,0.016528925619834708,0.016528925619834704
1,costpush,0.0,-3.713889099959217e-18,0.005,0.0,-0.008264462809917363,0.008264462809917352,0.008264462809917349
2,costpush,0.0,-4.8280558299469815e-18,0.0025,0.0,-0.004132231404958684,0.004132231404958675,0.004132231404958671
3,costpush,0.0,-4.790916938947388e-18,0.00125,0.0,-0.0020661157024793445,0.0020661157024793363,0.0020661157024793324
4,costpush,0.0,-4.296969688652812e-18,0.000625,0.0,-0.001033057851239674,0.0010330578512396673,0.001033057851239664
5,costpush,0.0,-3.6696938196697e-18,0.0003125,0.0,-0.0005165289256198385,0.000516528925619833,0.0005165289256198302
6,costpush,0.0,-3.051814090109485e-18,0.00015625,0.0,-0.0002582644628099204,0.0002582644628099159,0.0002582644628099137
7,costpush,0.0,-2.49948078927445e-18,7.8125e-05,0.0,-0.00012913223140496115,0.00012913223140495752,0.0001291322314049557
8,costpush,0.0,-2.028599390012991e-18,3.90625e-05,0.0,-6.456611570248132e-05,6.456611570247839e-05,6.456611570247693e-05
9,costpush,0.0,-1.637386891307108e-18,1.953125e-05,0.0,-3.228305785124126e-05,3.2283057851238905e-05,3.228305785123773e-05
10,costpush,0.0,-1.317163202694044e-18,9.765625e-06,0.0,-1.6141528925621112e-05,1.6141528925619222e-05,1.6141528925618277e-05
11,costpush,0.0,-1.0573574069794139e-18,4.8828125e-06,0.0,-8.07076446281094e-06,8.070764462809426e-06,8.070764462808669e-06
12,costpush,0.0,-8.476993479956204e-19,2.44140625e-06,0.0,-4.035382231405779e-06,4.035382231404565e-06,4.0353822314039584e-06
13,costpush,0.0,-6.7906618960254095e-19,1.220703125e-06,0.0,-2.0176911157031354e-06,2.0176911157021643e-06,2.0176911157016785e-06
14,costpush,0.0,-5.43706307285055e-19,6.103515625e-07,0.0,-1.0088455578517646e-06,1.0088455578509875e-06,1.0088455578505987e-06
15,costpush,0.0,-4.35191723629555e-19,3.0517578125e-07,0.0,-5.044227789260399e-07,5.044227789254179e-07,5.04422778925107e-07
16,costpush,0.0,-3.4826671780439953e-19,1.52587890625e-07,0.0,-2.5221138946314604e-07,2.5221138946264835e-07,2.5221138946239954e-07
17,costpush,0.0,-2.786700436938974e-19,7.62939453125e-08,0.0,-1.2610569473167387e-07,1.2610569473127568e-07,1.261056947310766e-07
18,costpush,0.0,-2.2296436968030676e-19,3.814697265625e-08,0.0,-6.305284736591761e-08,6.305284736559906e-08,6.305284736543978e-08
19,costpush,0.0,-1.7838566310683982e-19,1.9073486328125e-08,0.0,-3.1526423683023354e-08,3.1526423682768496e-08,3.152642368264107e-08
20,costpush,0.0,-1.4271561416676905e-19,9.5367431640625e-09,0.0,-1.5763211841563313e-08,1.5763211841359423e-08,1.576321184125748e-08
21,costpush,0.0,-1.1417603317406383e-19,4.76837158203125e-09,0.0,-7.881605920822964e-09,7.881605920659852e-09,7.881605920578296e-09
22,costpush,0.0,-9.134259745957535e-20,2.384185791015625e-09,0.0,-3.9408029604445296e-09,3.940802960314038e-09,3.940802960248792e-09
23,costpush,0.0,-7.307496342782242e-20,1.1920928955078125e-09,0.0,-1.9704014802487023e-09,1.9704014801443084e-09,1.9704014800921116e-09
