t,shock_name,epsilon_t,r_n,u,nu,x,pi,i
0,demand,1.0,0.01,0.0,0.0,0.009647495361781068,0.004638218923933219,0.01178107606679036
1,demand,0.0,0.007999999999999998,0.0,0.0,0.007717996289424852,0.0037105751391465743,0.009424860853432285
2,demand,0.0,0.006399999999999998,0.0,0.0,0.006174397031539881,0.002968460111317259,0.0075398886827458276
3,demand,0.0,0.005119999999999997,0.0,0.0,0.004939517625231903,0.0023747680890538066,0.006031910946196661
4,demand,0.0,0.004095999999999996,0.0,0.0,0.003951614100185521,0.0018998144712430447,0.004825528756957327
5,demand,0.0,0.0032767999999999964,0.0,0.0,0.0031612912801484163,0.0015198515769944355,0.0038604230055658607
6,demand,0.0,0.0026214399999999966,0.0,0.0,0.0025290330241187326,0.0012158812615955482,0.003088338404452688
7,demand,0.0,0.0020971519999999967,0.0,0.0,0.0020232264192949854,0.0009727050092764383,0.0024706707235621498
8,demand,0.0,0.001677721599999997,0.0,0.0,0.0016185811354359882,0.0007781640074211504,0.001976536578849719
9,demand,0.0,0.0013421772799999973,0.0,0.0,0.0012948649083487902,0.0006225312059369202,0.0015812292630797752
10,demand,0.0,0.0010737418239999976,0.0,0.0,0.0010358919266790318,0.000498024964749536,0.0012649834104638197
11,demand,0.0,0.0008589934591999979,0.0,0.0,0.0008287135413432254,0.00039841997179962873,0.0010119867283710556
12,demand,0.0,0.0006871947673599982,0.0,0.0,0.0006629708330745802,0.0003187359774397029,0.0008095893826968443
13,demand,0.0,0.0005497558138879984,0.0,0.0,0.000530376666459664,0.0002549887819517623,0.0006476715061574753
14,demand,0.0,0.00043980465111039864,0.0,0.0,0.0004243013331677311,0.00020399102556140978,0.0005181372049259802
15,demand,0.0,0.00035184372088831883,0.0,0.0,0.0003394410665341848,0.0001631928204491278,0.00041450976394078403
16,demand,0.0,0.000281474976710655,0.0,0.0,0.00027155285322734776,0.0001305542563593022,0.00033160781115262715
17,demand,0.0,0.00022517998136852395,0.0,0.0,0.00021724228258187818,0.00010444340508744174,0.0002652862489221017
18,demand,0.0,0.00018014398509481913,0.0,0.0,0.0001737938260655025,8.355472406995338e-05,0.00021222899913768127
19,demand,0.0,0.00014411518807585526,0.0,0.0,0.00013903506085240197,6.684377925596269e-05,0.00016978319931014498
20,demand,0.0,0.00011529215046068419,0.0,0.0,0.00011122804868192156,5.347502340477014e-05,0.00013582655944811595
21,demand,0.0,9.223372036854733e-05,0.0,0.0,8.898243894553724e-05,4.2780018723816104e-05,0.00010866124755849274
22,demand,0.0,7.378697629483785e-05,0.0,0.0,7.118595115642977e-05,3.422401497905287e-05,8.692899804679418e-05
23,demand,0.0,5.902958103587026e-05,0.0,0.0,5.6948760925143795e-05,2.737921198324229e-05,6.954319843743532e-05
