t,shock_name,epsilon_t,r_n,u,nu,x,pi,i
0,monetary,1.0,0.0,0.0,0.0025,-0.0020867768595041326,-0.0004132231404958684,0.0008367768595041319
1,monetary,0.0,-1.6400260793735004e-19,-4.100065198433751e-20,0.00125,-0.0010433884297520663,-0.00020661157024793434,0.0004183884297520657
2,monetary,0.0,-2.13203390318555e-19,-4.100065198433751e-20,0.000625,-0.0005216942148760333,-0.00010330578512396726,0.00020919421487603266
3,monetary,0.0,-2.1156336423918143e-19,-3.0750488988253135e-20,0.0003125,-0.00026084710743801674,-5.16528925619837e-05,0.0001045971074380162
4,monetary,0.0,-1.8975101738351386e-19,-2.0500325992168756e-20,0.00015625,-0.00013042355371900842,-2.5826446280991898e-05,5.229855371900799e-05
5,monetary,0.0,-1.6205097690289543e-19,-1.2812703745105472e-20,7.8125e-05,-6.521177685950428e-05,-1.2913223140495984e-05,2.6149276859503913e-05
6,monetary,0.0,-1.347658630203585e-19,-7.687622247063284e-21,3.90625e-05,-3.260588842975219e-05,-6.456611570248019e-06,1.307463842975189e-05
7,monetary,0.0,-1.1037523116530788e-19,-4.484446310786916e-21,1.953125e-05,-1.6302944214876134e-05,-3.2283057851240304e-06,6.537319214875894e-06
8,monetary,0.0,-8.958145530675683e-20,-2.562540749021095e-21,9.765625e-06,-8.1514721074381e-06,-1.6141528925620317e-06,3.2686596074379057e-06
9,monetary,0.0,-7.230579943266073e-20,-1.4414291713243659e-21,4.8828125e-06,-4.075736053719076e-06,-8.070764462810289e-07,1.6343298037189202e-06
10,monetary,0.0,-5.81649571397562e-20,-8.007939840690922e-22,2.44140625e-06,-2.037868026859559e-06,-4.035382231405248e-07,8.17164901859434e-07
11,monetary,0.0,-4.6692124508618766e-20,-4.404366912380007e-22,1.220703125e-06,-1.0189340134297965e-06,-2.0176911157027064e-07,4.085824509296962e-07
12,monetary,0.0,-3.7433779005301916e-20,-2.4023819522072766e-22,6.103515625e-07,-5.094670067149118e-07,-1.0088455578514188e-07,2.0429122546483147e-07
13,monetary,0.0,-2.9987062903444984e-20,-1.3012902241122749e-22,3.0517578125e-07,-2.5473350335746676e-07,-5.044227789257618e-08,1.0214561273240245e-07
14,monetary,0.0,-2.4009670172357708e-20,-7.006947360604557e-23,1.52587890625e-07,-1.273667516787421e-07,-2.5221138946292284e-08,5.107280636619059e-08
15,monetary,0.0,-1.9217746062687025e-20,-3.75372180032387e-23,7.62939453125e-08,-6.368337583937799e-08,-1.2610569473149492e-08,2.5536403183086794e-08
16,monetary,0.0,-1.5379201812550047e-20,-2.0019849601727306e-23,3.814697265625e-08,-3.184168791969456e-08,-6.305284736577424e-09,1.2768201591536596e-08
17,monetary,0.0,-1.230586393124025e-20,-1.0635545100917632e-23,1.9073486328125e-08,-1.5920843959851734e-08,-3.152642368290854e-09,6.3841007957628585e-09
18,monetary,0.0,-9.845942385592306e-21,-5.630582700485805e-24,9.5367431640625e-09,-7.960421979929429e-09,-1.5763211841471406e-09,3.1920503978770783e-09
19,monetary,0.0,-7.877379528773897e-21,-2.971696425256397e-24,4.76837158203125e-09,-3.980210989967564e-09,-7.881605920749408e-10,1.5960251989350581e-09
20,monetary,0.0,-6.302216433169144e-21,-1.5640507501349458e-24,2.384185791015625e-09,-1.990105494986062e-09,-3.940802960385668e-10,7.980125994647445e-10
21,monetary,0.0,-5.041929551610327e-21,-8.211266438208466e-25,1.1920928955078125e-09,-9.950527474948552e-10,-1.9704014802016047e-10,3.990062997301446e-10
22,monetary,0.0,-4.0336218438257676e-21,-4.301139562871101e-25,5.960464477539063e-10,-4.97526373748887e-10,-9.852007401078188e-11,1.9950314986329018e-10
23,monetary,0.0,-3.2269365763293665e-21,-2.2483229533189842e-25,2.9802322387695313e-10,-2.487631868756109e-10,-4.926003700595223e-11,9.975157493021942e-11
