t,filtered_r_n,filtered_std_r_n,lower_95_r_n,upper_95_r_n,filter_error_r_n,filtered_u,filtered_std_u,lower_95_u,upper_95_u,filter_error_u,filtered_nu,filtered_std_nu,lower_95_nu,upper_95_nu,filter_error_nu
0,0.032385006238400085,0.0011410158897212119,0.03014861509454651,0.03462139738225366,1.5310829040618423e-05,-0.008830668230296877,0.0007275924254552137,-0.010256749384189096,-0.007404587076404658,0.0003436782128893954,0.0022620824720158356,0.0020090606791801392,-0.001675676459177237,0.006199841403208908,5.725977257332003e-05
1,0.041538625356724215,0.00112663366071677,0.03933042338171935,0.043746827331729084,0.0025721257856399574,0.005842983987645351,0.0007159365988112484,0.004439748253975305,0.007246219721315398,-0.0006572649660165015,0.0041441289513761154,0.0019399599359608524,0.0003418074768928446,0.007946450425859387,0.0008895730511746906
2,0.023055510228825765,0.0011258523765800088,0.020848839570728948,0.025262180886922583,-0.000900751086600593,-0.0012317716144160753,0.0007151489478142016,-0.0026334635521319105,0.00016992032329975963,4.360876590016197e-05,0.005255641745238839,0.0019351059397508408,0.0014628341033271906,0.009048449387150487,-0.0034617111934533836
3,0.005627353084037091,0.0011257983743346003,0.0034207882703412747,0.007833917897732908,-0.0013590448595777078,-0.014446266789331114,0.0007150944055134813,-0.015847851824137536,-0.01304468175452469,-0.00010244038663381749,0.0029742994524291524,0.0019347694397184104,-0.0008178486494189318,0.006766447554277237,-0.0013236113212820966
4,-0.010968133367119519,0.0011257946345697174,-0.013174690850876164,-0.008761575883362873,-0.0016660093580921232,-0.018780509495496783,0.000715090628136364,-0.020182087126644058,-0.01737893186434951,0.0006158346653615844,-0.0006699578762863494,0.0019347461336376372,-0.004462060298216118,0.0031221445456434196,0.0008293300129531206
5,-0.018976202128189536,0.0011257943755706606,-0.02118275910430803,-0.016769645152071043,0.00013179115030336266,-0.011025710066151877,0.0007150903665318775,-0.012427287184554357,-0.009624132947749397,0.0007895090769156482,-0.0027735158552836376,0.0019347445195549075,-0.006565615113611256,0.001018583403043981,-0.003851119610041786
6,-0.011475598860826136,0.0011257943576335426,-0.01368215580178788,-0.009269041919864392,0.0024694611547949556,0.0011889917052359282,0.0007150903484143173,-0.00021258537765613374,0.00259056878812799,-0.0005753445771236746,0.0006096089345391709,0.0019347444077707054,-0.0031824901046914114,0.0044017079737697536,0.0010770784446269175
7,-0.03655543643997501,0.0011257943563912978,-0.038761993378501954,-0.03434887950144807,0.0013719522003053652,-0.008897499523153525,0.0007150903471595759,-0.010299076603586295,-0.007495922442720756,-0.00190311523011253,-0.0006499732937377519,0.0019347444000290307,-0.004442072317794652,0.0031421257303191484,0.003933196983156554
8,-0.026674813978880278,0.0011257943563052655,-0.028881370917238598,-0.024468257040521958,0.0014786142473984,0.0013935118966669725,0.0007150903470726781,-8.065183595476737e-06,0.0027950889769294217,-0.00015435285638991294,-0.0011374802317810858,0.0019347443994928767,-0.004929579254787124,0.0026546187912249524,0.0027139942135007904
9,-0.02320834557771663,0.0011257943562993074,-0.02541490251606327,-0.021001788639369988,0.000990724432742101,0.007532917386931938,0.00071509034706666,0.006131340306681284,0.008934494467182592,0.0008564135656912173,0.003146070994576691,0.001934744399455745,-0.0006460280283565691,0.0069381700175099505,0.0021729384430588384
