t,obs_x,obs_pi,obs_i,signal_x,signal_pi,signal_i
0,0.043759897925261804,-0.0010395624040668574,0.02512277446335821,0.044552468434005815,-0.0005148691200776553,0.023708753236328935
1,0.026584037834429045,0.02686944220981784,0.06111961610301092,0.024132086464938217,0.028279785593552147,0.05774027752299874
2,0.019320448784386553,0.006308001958176834,0.027739279299005052,0.01794339058150615,0.00756248693041071,0.02903277862506136
3,0.02671182118531705,-0.022005909694854702,-0.01630747101110538,0.0268614158483409,-0.021178758131173855,-0.014039518498879083
4,0.02126993561869044,-0.03504986279882301,-0.04506518327366285,0.024337324879173818,-0.036126785574259176,-0.04352080381104133
5,0.0025347453736534373,-0.025384087991388547,-0.04241286932988333,0.0001953727554030081,-0.028570109765151005,-0.04167987451526685
6,-0.01385215468255736,-0.00433941285908644,-0.010683786259407552,-0.01597954667752613,-0.003474498120416256,-0.013668990029475194
7,-0.02006543014611503,-0.031057833038092945,-0.05866469629533714,-0.021203843354739727,-0.02839497014019507,-0.05777754716455677
8,-0.026960266382192066,-0.009448332919357025,-0.02972865281974561,-0.02650459386145579,-0.009863114873660449,-0.03189844368650043
9,-0.0380923725247124,-0.00048720948190980064,-0.012714509352216255,-0.035193869270609676,-0.00034936329584922895,-0.017147847027560822
10,-0.046548888737419254,0.006878881642024845,-0.011624990685649228,-0.045818410799026175,0.008010032160903053,-0.011705922393088397
11,0.02076838729801218,-0.03889020526924205,-0.04991540741851629,0.022791802057874466,-0.04002829432106159,-0.0501803218230867
12,0.03893088427322982,-0.038811075500903076,-0.046169811146556855,0.037500755207480155,-0.04052832253268618,-0.0492134090879091
13,0.00840427810939205,-0.03180582616906505,-0.04945302638463399,0.008964422627322785,-0.032338719270265326,-0.04661866639257801
14,0.010622599144377881,-0.016025335877801968,-0.024543264361276275,0.008993364716154308,-0.016375480344127044,-0.02526570369805197
15,-0.019216555238889564,-0.007416514335859171,-0.019097617206150604,-0.018686425954995117,-0.007324849295062512,-0.020715181122956783
16,-0.04434747315866912,0.026078359999524296,0.014543982022037459,-0.044110418802731706,0.02589737836838923,0.014984803467806743
17,-0.029085628247784313,0.015010551543146816,0.0037415710067355383,-0.02892247575178433,0.013782308443349812,0.004695511208301594
18,-0.00886014479018617,-0.025109508618456088,-0.041279946103255645,-0.008083974749902623,-0.02398312922780444,-0.040724397403257694
19,-0.03654813556741475,0.015397348016590024,0.0056022788192428025,-0.036487470152373434,0.01636160290984552,0.006065125567201155
